clusterName,onTarget
AII,0.23111826
AII*,0.025316905
Astrocyte,1.0
BB,1.0
CAI,0.61633426
CAII,0.49662465
DB1,0.25334477
DB2,0.11147166
DB3a,0.5494625
DB3b,0.73141587
DB4a,0.70959145
DB4b,0.14046608
DB5,0.5613894
DB6,0.46121064
FMB,0.19750278
GB,0.24776766
H1,0.52101755
H2,0.7926408
HAC2,0.09225696
HAC3,0.3781311
HAC4,0.2201577
HAC5,0.060729545
HAC6,0.21574546
HAC8,0.36464992
HAC9,0.17817779
HAC11,0.47834697
HAC12,0.14636147
HAC13,0.15161699
HAC14,0.19741526
HAC15,0.1269974
HAC17,0.5568955
HAC18,0.13732435
HAC19,0.17283827
HAC20,0.33693147
HAC21,0.5811313
HAC23,0.22540697
HAC24,0.071542725
HAC26,0.08837985
HAC27,0.43088856
HAC28,0.18942845
HAC29,0.16613197
HAC30,0.09613548
HAC32,0.17738292
HAC33,0.5934086
HAC34,0.5278375
HAC35,0.54398143
HAC37,0.095998324
HAC38,0.06826241
HAC39,0.08864485
HAC40,0.20772785
HAC41,0.19016597
HAC42,0.14792705
HAC44,0.6005423
HAC45,0.18118463
HAC46,0.26015967
HAC48,0.18570131
HAC49,0.118999556
HAC50,0.3072007
HAC51,0.37559488
HAC52,0.10395568
HAC53,0.20268
HAC54,0.12342875
HAC55,0.27606335
HAC56,0.14447446
HAC57,0.16904007
HAC59,0.61527884
HAC60,0.29334402
HAC62,0.11666016
HAC63,0.017572103
HAC64,0.19380575
HAC65,0.34003568
HAC66,0.030594688
HAC68,0.06175501
HAC71,0.024051407
HAC72,0.3039367
HAC74,0.04053333
HAC75,0.021242395
HAC77,0.100474924
HAC78,0.16161734
HAC79,0.21308494
HAC80,0.1821171
HAC81,0.117959395
HAC82,0.48391923
HAC84,0.14406593
HAC86,0.15548588
HAC87,0.048387595
HAC88,0.13983923
HAC89,0.1478875
HAC90,0.08558834
HAC91,0.084434025
HAC92,0.3043487
HAC93,0.2517199
HAC95,0.5023602
HRGC3,0.8010979
HRGC4,0.12687817
HRGC5,0.17912515
HRGC9,0.32810333
HRGC10,0.070214815
HRGC11,0.26953027
IMB,0.21477476
MG,0.6955585
MG_OFF,0.08950462
MG_ON,0.598561
ML_Cone,0.6521485
Microglia,1.0
OFF-SAC,0.6662644
OFF-SAC*,0.012899004
OFFx,0.8296534
ON-SAC,0.46319503
PENK,0.5315811
PG_OFF,0.3754443
PG_ON,0.2437037
RB,0.3956972
RPE,1.0
Rod,0.20892672
SEG,0.10530045
SEG*,0.08581205
S_Cone,0.81649756
VG3,0.20090643
VG3*,0.077573426
VIP,1.0
ipRGC,0.322854
nNOS,0.2803662
