clusterName,markerGene,onTarget_per_gene,onTarget
AII,ENSG00000113504,0.35116327,0.23111826
AII,ENSG00000101463,0.11107326,0.23111826
AII*,ENSG00000113504,0.2677222,0.025316905
AII*,ENSG00000188107,0.026426075,0.025316905
AII*,ENSG00000042781,0.020438645,0.025316905
AII*,ENSG00000162946,0.024207737,0.025316905
Astrocyte,ENSG00000243620,1.0,1.0
BB,ENSG00000250971,1.0,1.0
CAI,ENSG00000070193,1.0,0.61633426
CAI,ENSG00000180176,0.61633426,0.61633426
CAI,ENSG00000123243,0.43479466,0.61633426
CAII,ENSG00000104313,0.59953797,0.49662465
CAII,ENSG00000075223,0.39371133,0.49662465
DB1,ENSG00000249464,0.37527812,0.25334477
DB1,ENSG00000144227,0.13141143,0.25334477
DB2,ENSG00000163377,0.12657322,0.11147166
DB2,ENSG00000147862,0.0963701,0.11147166
DB3a,ENSG00000267109,1.0,0.5494625
DB3a,ENSG00000165966,0.09892497,0.5494625
DB3b,ENSG00000228933,1.0,0.73141587
DB3b,ENSG00000251574,0.4628317,0.73141587
DB4a,ENSG00000265485,1.0,0.70959145
DB4a,ENSG00000132204,0.4191829,0.70959145
DB4b,ENSG00000196569,0.29808003,0.14046608
DB4b,ENSG00000186314,0.14046608,0.14046608
DB4b,ENSG00000166342,0.08308474,0.14046608
DB5,ENSG00000082293,1.0,0.5613894
DB5,ENSG00000186314,0.12277873,0.5613894
DB6,ENSG00000165025,0.5055361,0.46121064
DB6,ENSG00000286980,0.4168852,0.46121064
FMB,ENSG00000169836,0.2566587,0.19750278
FMB,ENSG00000163377,0.13834685,0.19750278
GB,ENSG00000182601,0.30320135,0.24776766
GB,ENSG00000197442,0.19233398,0.24776766
H1,ENSG00000157890,0.53643334,0.52101755
H1,ENSG00000205922,0.5056017,0.52101755
H2,ENSG00000136842,1.0,0.7926408
H2,ENSG00000244040,0.58528155,0.7926408
HAC2,ENSG00000182463,0.10892084,0.09225696
HAC2,ENSG00000151952,0.075593084,0.09225696
HAC3,ENSG00000146674,0.44634387,0.3781311
HAC3,ENSG00000134853,0.30991834,0.3781311
HAC4,ENSG00000255132,0.34664005,0.2201577
HAC4,ENSG00000187720,0.09367535,0.2201577
HAC5,ENSG00000259867,0.53061694,0.060729545
HAC5,ENSG00000138759,0.060729545,0.060729545
HAC5,ENSG00000114757,0.04937048,0.060729545
HAC6,ENSG00000253807,0.36146748,0.21574546
HAC6,ENSG00000126733,0.07002344,0.21574546
HAC8,ENSG00000251488,0.4932772,0.36464992
HAC8,ENSG00000112319,0.23602264,0.36464992
HAC9,ENSG00000226965,0.20408814,0.17817779
HAC9,ENSG00000187147,0.15226744,0.17817779
HAC11,ENSG00000149554,0.5694363,0.47834697
HAC11,ENSG00000170962,0.38725764,0.47834697
HAC12,ENSG00000008441,0.24522427,0.14636147
HAC12,ENSG00000241956,0.047498666,0.14636147
HAC13,ENSG00000189108,0.19124754,0.15161699
HAC13,ENSG00000140945,0.11198645,0.15161699
HAC14,ENSG00000128918,0.25541586,0.19741526
HAC14,ENSG00000165973,0.13941467,0.19741526
HAC15,ENSG00000138653,0.2346869,0.1269974
HAC15,ENSG00000116183,0.105403684,0.1269974
HAC15,ENSG00000154080,0.1269974,0.1269974
HAC17,ENSG00000248510,1.0,0.5568955
HAC17,ENSG00000182463,0.11379099,0.5568955
HAC18,ENSG00000226965,0.1919475,0.13732435
HAC18,ENSG00000089169,0.082701184,0.13732435
HAC19,ENSG00000164326,0.192899,0.17283827
HAC19,ENSG00000231252,0.15277752,0.17283827
HAC20,ENSG00000254101,0.46898362,0.33693147
HAC20,ENSG00000285681,0.20487931,0.33693147
HAC21,ENSG00000107593,1.0,0.5811313
HAC21,ENSG00000259417,0.16226259,0.5811313
HAC23,ENSG00000113100,0.254958,0.22540697
HAC23,ENSG00000147246,0.22540697,0.22540697
HAC23,ENSG00000165973,0.1264414,0.22540697
HAC24,ENSG00000122585,0.47034362,0.071542725
HAC24,ENSG00000241684,0.071542725,0.071542725
HAC24,ENSG00000162670,0.06855758,0.071542725
HAC26,ENSG00000112419,0.095970735,0.08837985
HAC26,ENSG00000154080,0.08837985,0.08837985
HAC26,ENSG00000163377,0.08129521,0.08837985
HAC27,ENSG00000106018,0.68199265,0.43088856
HAC27,ENSG00000141668,0.17978446,0.43088856
HAC28,ENSG00000178722,0.21458939,0.18942845
HAC28,ENSG00000254226,0.18942845,0.18942845
HAC28,ENSG00000136237,0.049574368,0.18942845
HAC29,ENSG00000187147,0.16856882,0.16613197
HAC29,ENSG00000183287,0.16369514,0.16613197
HAC30,ENSG00000110975,0.17771147,0.09613548
HAC30,ENSG00000112964,0.09613548,0.09613548
HAC30,ENSG00000151952,0.058507707,0.09613548
HAC32,ENSG00000146376,0.21582575,0.17738292
HAC32,ENSG00000161270,0.13894007,0.17738292
HAC33,ENSG00000248587,0.6836247,0.5934086
HAC33,ENSG00000082684,0.50319254,0.5934086
HAC34,ENSG00000232885,0.5345966,0.5278375
HAC34,ENSG00000163508,0.52107835,0.5278375
HAC35,ENSG00000186340,1.0,0.54398143
HAC35,ENSG00000144227,0.08796282,0.54398143
HAC37,ENSG00000250125,1.0,0.095998324
HAC37,ENSG00000241684,0.095998324,0.095998324
HAC37,ENSG00000174473,0.052628193,0.095998324
HAC38,ENSG00000178573,0.21960987,0.06826241
HAC38,ENSG00000182463,0.06826241,0.06826241
HAC38,ENSG00000126733,0.051600132,0.06826241
HAC39,ENSG00000183287,0.17958309,0.08864485
HAC39,ENSG00000198673,0.08534682,0.08864485
HAC39,ENSG00000138759,0.08864485,0.08864485
HAC40,ENSG00000171502,0.23963846,0.20772785
HAC40,ENSG00000226965,0.17581725,0.20772785
HAC41,ENSG00000233611,0.20459123,0.19016597
HAC41,ENSG00000128573,0.19016597,0.19016597
HAC41,ENSG00000187147,0.12290998,0.19016597
HAC42,ENSG00000241956,0.19597593,0.14792705
HAC42,ENSG00000152784,0.09987818,0.14792705
HAC44,ENSG00000011465,1.0,0.6005423
HAC44,ENSG00000134853,0.20108455,0.6005423
HAC45,ENSG00000041515,0.23392972,0.18118463
HAC45,ENSG00000134516,0.12843955,0.18118463
HAC46,ENSG00000112562,0.3792615,0.26015967
HAC46,ENSG00000122584,0.14105783,0.26015967
HAC48,ENSG00000160111,0.19201627,0.18570131
HAC48,ENSG00000241684,0.17938635,0.18570131
HAC49,ENSG00000178573,0.19962053,0.118999556
HAC49,ENSG00000180287,0.12146745,0.118999556
HAC49,ENSG00000271774,0.11653166,0.118999556
HAC49,ENSG00000154080,0.115310825,0.118999556
HAC50,ENSG00000248307,0.49763972,0.3072007
HAC50,ENSG00000246662,0.11676166,0.3072007
HAC51,ENSG00000241743,0.409743,0.37559488
HAC51,ENSG00000178031,0.37559488,0.37559488
HAC51,ENSG00000233611,0.23630829,0.37559488
HAC52,ENSG00000237187,0.123898685,0.10395568
HAC52,ENSG00000112419,0.099531405,0.10395568
HAC52,ENSG00000140945,0.10395568,0.10395568
HAC53,ENSG00000152953,0.3147816,0.20268
HAC53,ENSG00000255794,0.09057841,0.20268
HAC54,ENSG00000227115,0.5672854,0.12342875
HAC54,ENSG00000156140,0.12342875,0.12342875
HAC54,ENSG00000237515,0.09643715,0.12342875
HAC55,ENSG00000227240,0.38489243,0.27606335
HAC55,ENSG00000241684,0.16723429,0.27606335
HAC56,ENSG00000147246,0.17664067,0.14447446
HAC56,ENSG00000135324,0.14447446,0.14447446
HAC56,ENSG00000198673,0.11118474,0.14447446
HAC57,ENSG00000006128,0.28517097,0.16904007
HAC57,ENSG00000102780,0.052909162,0.16904007
HAC59,ENSG00000218819,1.0,0.61527884
HAC59,ENSG00000152953,0.2305577,0.61527884
HAC60,ENSG00000237505,0.45915365,0.29334402
HAC60,ENSG00000183662,0.12753442,0.29334402
HAC62,ENSG00000164270,0.363279,0.11666016
HAC62,ENSG00000165973,0.11239362,0.11666016
HAC62,ENSG00000136237,0.11666016,0.11666016
HAC63,ENSG00000166342,0.017572103,0.017572103
HAC63,ENSG00000136267,0.012162608,0.017572103
HAC63,ENSG00000148948,0.03576555,0.017572103
HAC64,ENSG00000171502,0.33191347,0.19380575
HAC64,ENSG00000173068,0.19380575,0.19380575
HAC64,ENSG00000237515,0.13002023,0.19380575
HAC65,ENSG00000169439,0.49862882,0.34003568
HAC65,ENSG00000120907,0.18144256,0.34003568
HAC66,ENSG00000132915,0.035320874,0.030594688
HAC66,ENSG00000042781,0.0258685,0.030594688
HAC68,ENSG00000164326,0.16994831,0.06175501
HAC68,ENSG00000132915,0.049473125,0.06175501
HAC68,ENSG00000162599,0.074036896,0.06175501
HAC68,ENSG00000047617,0.027876122,0.06175501
HAC71,ENSG00000134853,0.23688674,0.024051407
HAC71,ENSG00000080200,0.024051407,0.024051407
HAC71,ENSG00000155307,0.023585303,0.024051407
HAC72,ENSG00000156510,0.30444154,0.3039367
HAC72,ENSG00000091513,0.3039367,0.3039367
HAC72,ENSG00000137571,0.031767745,0.3039367
HAC74,ENSG00000182463,0.06796301,0.04053333
HAC74,ENSG00000080200,0.03253622,0.04053333
HAC74,ENSG00000151952,0.04853044,0.04053333
HAC74,ENSG00000155307,0.031636845,0.04053333
HAC75,ENSG00000259867,0.469383,0.021242395
HAC75,ENSG00000166342,0.00746643,0.021242395
HAC75,ENSG00000154975,0.021242395,0.021242395
HAC77,ENSG00000228566,0.22829473,0.100474924
HAC77,ENSG00000112319,0.1853975,0.100474924
