software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,AII,7454,0.7798465160896486,0.9242894056847545,0.47987657633485375,501294,293,3877,3577,2,"['ENSG00000113504', 'ENSG00000101463']","['ENSG00000159251', 'ENSG00000113504', 'ENSG00000138604', 'ENSG00000172403', 'ENSG00000128536', 'ENSG00000101463', 'ENSG00000237928', 'ENSG00000134215', 'ENSG00000228222', 'ENSG00000162599']",0.23111826
4.1,author_cell_type,AII*,1057,0.6173101400084854,0.8953846153846153,0.2753074739829707,507950,34,766,291,4,"['ENSG00000113504', 'ENSG00000188107', 'ENSG00000042781', 'ENSG00000162946']","['ENSG00000113504', 'ENSG00000132915', 'ENSG00000130561', 'ENSG00000188107', 'ENSG00000042781', 'ENSG00000162946', 'ENSG00000198691', 'ENSG00000261873', 'ENSG00000258776', 'ENSG00000165588']",0.025316905
4.1,author_cell_type,Astrocyte,7454,0.8827599220076734,0.9224449556358857,0.7531526697075396,501115,472,1840,5614,1,['ENSG00000243620'],"['ENSG00000243620', 'ENSG00000196092', 'ENSG00000075891', 'ENSG00000041982', 'ENSG00000058866', 'ENSG00000018625', 'ENSG00000131095', 'ENSG00000092758', 'ENSG00000136732', 'ENSG00000236790']",1.0
4.1,author_cell_type,BB,2931,0.8162731945291402,0.8769302760879738,0.6393722279085636,505847,263,1057,1874,1,['ENSG00000250971'],"['ENSG00000250971', 'ENSG00000147257', 'ENSG00000215474', 'ENSG00000151012', 'ENSG00000186007', 'ENSG00000070159', 'ENSG00000113262', 'ENSG00000183662', 'ENSG00000134160', 'ENSG00000156395']",1.0
4.1,author_cell_type,CAI,450,0.7350427350427351,0.9555555555555556,0.38222222222222224,508583,8,278,172,3,"['ENSG00000070193', 'ENSG00000180176', 'ENSG00000123243']","['ENSG00000270321', 'ENSG00000070193', 'ENSG00000224141', 'ENSG00000225206', 'ENSG00000180176', 'ENSG00000123243', 'ENSG00000188641', 'ENSG00000287092', 'ENSG00000164326', 'ENSG00000237515']",0.61633426
4.1,author_cell_type,CAII,3865,0.8628097905317271,0.981239092495637,0.581888745148771,505133,43,1616,2249,2,"['ENSG00000104313', 'ENSG00000075223']","['ENSG00000124749', 'ENSG00000104313', 'ENSG00000172995', 'ENSG00000180176', 'ENSG00000225206', 'ENSG00000075223', 'ENSG00000006128', 'ENSG00000087116', 'ENSG00000107099', 'ENSG00000173157']",0.49662465
4.1,author_cell_type,DB1,7454,0.8062915336152585,0.9508905852417303,0.5013415615776764,501394,193,3717,3737,2,"['ENSG00000249464', 'ENSG00000144227']","['ENSG00000157404', 'ENSG00000278254', 'ENSG00000249464', 'ENSG00000175344', 'ENSG00000053747', 'ENSG00000144227', 'ENSG00000166342', 'ENSG00000134160', 'ENSG00000162631', 'ENSG00000171189']",0.25334477
4.1,author_cell_type,DB2,7454,0.8459047306714766,0.9744982290436836,0.5536624631070566,501479,108,3327,4127,2,"['ENSG00000163377', 'ENSG00000147862']","['ENSG00000130635', 'ENSG00000267055', 'ENSG00000243004', 'ENSG00000249803', 'ENSG00000163377', 'ENSG00000147862', 'ENSG00000171189', 'ENSG00000182348', 'ENSG00000162946', 'ENSG00000136267']",0.11147166
4.1,author_cell_type,DB3a,7454,0.859925568136828,0.9759604583239722,0.5827743493426348,501480,107,3110,4344,2,"['ENSG00000267109', 'ENSG00000165966']","['ENSG00000267109', 'ENSG00000232046', 'ENSG00000249464', 'ENSG00000170381', 'ENSG00000165966', 'ENSG00000044524', 'ENSG00000136267', 'ENSG00000169891', 'ENSG00000171189', 'ENSG00000178568']",0.5494625
4.1,author_cell_type,DB3b,7454,0.7315444913429235,0.8619639685359046,0.4557284679366783,501043,544,4057,3397,2,"['ENSG00000228933', 'ENSG00000251574']","['ENSG00000129167', 'ENSG00000228933', 'ENSG00000249803', 'ENSG00000251574', 'ENSG00000165084', 'ENSG00000085563', 'ENSG00000251141', 'ENSG00000105507', 'ENSG00000162946', 'ENSG00000171189']",0.73141587
4.1,author_cell_type,DB4a,7454,0.8430254656024325,0.9410267288926601,0.5951167158572579,501309,278,3018,4436,2,"['ENSG00000265485', 'ENSG00000132204']","['ENSG00000265485', 'ENSG00000263551', 'ENSG00000132204', 'ENSG00000118271', 'ENSG00000258751', 'ENSG00000110693', 'ENSG00000182601', 'ENSG00000113262', 'ENSG00000182348', 'ENSG00000147862']",0.70959145
4.1,author_cell_type,DB4b,4553,0.6486305625926103,0.6632453567937439,0.5960904897869537,503110,1378,1839,2714,3,"['ENSG00000196569', 'ENSG00000186314', 'ENSG00000166342']","['ENSG00000272180', 'ENSG00000282943', 'ENSG00000196569', 'ENSG00000132204', 'ENSG00000186314', 'ENSG00000166342', 'ENSG00000162599', 'ENSG00000182348', 'ENSG00000198929', 'ENSG00000149571']",0.14046608
4.1,author_cell_type,DB5,7454,0.8533509488349748,0.9730655101574983,0.5719077005634559,501469,118,3191,4263,2,"['ENSG00000082293', 'ENSG00000186314']","['ENSG00000082293', 'ENSG00000231424', 'ENSG00000041515', 'ENSG00000186314', 'ENSG00000197584', 'ENSG00000147862', 'ENSG00000136267', 'ENSG00000228624', 'ENSG00000249853', 'ENSG00000154229']",0.5613894
4.1,author_cell_type,DB6,7454,0.7003003671153633,0.9570505511212467,0.3378052052589214,501474,113,4936,2518,2,"['ENSG00000165025', 'ENSG00000286980']","['ENSG00000197826', 'ENSG00000138646', 'ENSG00000198075', 'ENSG00000154274', 'ENSG00000165025', 'ENSG00000286980', 'ENSG00000275443', 'ENSG00000113262', 'ENSG00000134160', 'ENSG00000247809']",0.46121064
4.1,author_cell_type,FMB,7454,0.7892969099865652,0.9478354396343103,0.4729004561309364,501393,194,3929,3525,2,"['ENSG00000169836', 'ENSG00000163377']","['ENSG00000286980', 'ENSG00000163492', 'ENSG00000169836', 'ENSG00000132204', 'ENSG00000185942', 'ENSG00000163377', 'ENSG00000136267', 'ENSG00000166342', 'ENSG00000171189', 'ENSG00000120549']",0.19750278
4.1,author_cell_type,GB,7454,0.795668549905838,0.9560883620689655,0.4761202039173598,501424,163,3905,3549,2,"['ENSG00000182601', 'ENSG00000197442']","['ENSG00000273540', 'ENSG00000172071', 'ENSG00000182601', 'ENSG00000168824', 'ENSG00000197442', 'ENSG00000111962', 'ENSG00000134160', 'ENSG00000171444', 'ENSG00000120549', 'ENSG00000152818']",0.24776766
4.1,author_cell_type,H1,7454,0.8678033488798838,0.9709153122326775,0.6090689562650926,501451,136,2914,4540,2,"['ENSG00000157890', 'ENSG00000205922']","['ENSG00000164309', 'ENSG00000273706', 'ENSG00000140470', 'ENSG00000157890', 'ENSG00000205922', 'ENSG00000112902', 'ENSG00000140479', 'ENSG00000169856', 'ENSG00000145555', 'ENSG00000116147']",0.52101755
4.1,author_cell_type,H2,7454,0.7321071571371451,0.8343586238323081,0.4912798497451033,500860,727,3792,3662,2,"['ENSG00000136842', 'ENSG00000244040']","['ENSG00000136842', 'ENSG00000153976', 'ENSG00000135355', 'ENSG00000244040', 'ENSG00000140479', 'ENSG00000169856', 'ENSG00000143549', 'ENSG00000104327', 'ENSG00000099715', 'ENSG00000172554']",0.7926408
4.1,author_cell_type,HAC2,7454,0.6699732926363984,0.7489869908296012,0.47115642607995706,500410,1177,3942,3512,2,"['ENSG00000182463', 'ENSG00000151952']","['ENSG00000101974', 'ENSG00000271774', 'ENSG00000154027', 'ENSG00000182463', 'ENSG00000125869', 'ENSG00000151952', 'ENSG00000181072', 'ENSG00000157152', 'ENSG00000160145', 'ENSG00000040731']",0.09225696
4.1,author_cell_type,HAC3,7454,0.6780250347705146,0.902135231316726,0.3400858599409713,501312,275,4919,2535,2,"['ENSG00000146674', 'ENSG00000134853']","['ENSG00000146674', 'ENSG00000133454', 'ENSG00000134853', 'ENSG00000255595', 'ENSG00000231160', 'ENSG00000072201', 'ENSG00000187720', 'ENSG00000110436', 'ENSG00000152377', 'ENSG00000101134']",0.3781311
