,0
AII,31
AII*,89
Astrocyte,28
BB,28
CAI,142
CAII,116
DB1,15
DB2,25
DB3a,24
DB3b,25
DB4a,38
DB4b,22
DB5,19
DB6,20
FMB,25
GB,32
H1,24
H2,22
HAC11,38
HAC12,9
HAC13,35
HAC14,7
HAC15,25
HAC17,12
HAC18,56
HAC19,43
HAC2,12
HAC20,17
HAC21,27
HAC23,59
HAC24,66
HAC26,43
HAC27,29
HAC28,86
HAC29,26
HAC3,26
HAC30,56
HAC32,13
HAC33,88
HAC34,71
HAC35,20
HAC37,90
HAC38,30
HAC39,67
HAC4,65
HAC40,65
HAC41,27
HAC42,13
HAC44,31
HAC45,46
HAC46,35
HAC48,29
HAC49,54
HAC5,27
HAC50,17
HAC51,75
HAC52,17
HAC53,23
HAC54,82
HAC55,24
HAC56,50
HAC57,23
HAC59,77
HAC6,23
HAC60,28
HAC62,44
HAC63,149
HAC64,22
HAC65,44
HAC66,150
HAC68,110
HAC71,90
HAC72,94
HAC74,40
HAC75,82
HAC77,73
HAC78,50
HAC79,84
HAC8,18
HAC80,89
HAC81,104
HAC82,127
HAC84,71
HAC86,140
HAC87,121
HAC88,53
HAC89,110
HAC9,73
HAC90,66
HAC91,47
HAC92,84
HAC93,66
HAC95,82
HRGC10,214
HRGC11,156
HRGC3,121
HRGC4,22
HRGC5,26
HRGC9,134
IMB,34
MG,26
MG_OFF,109
MG_ON,117
ML_Cone,96
Microglia,6
OFF-SAC,11
OFF-SAC*,63
OFFx,13
ON-SAC,15
PENK,25
PG_OFF,186
PG_ON,160
RB,39
RPE,14
Rod,25
SEG,6
SEG*,62
S_Cone,112
VG3,24
VG3*,57
VIP,48
ipRGC,117
nNOS,27
