clusterName,markerGene,score
AII,ENSG00000287249,0.5692707190403042
AII,ENSG00000237928,0.5692707190403042
AII*,ENSG00000287249,0.16068801629512278
AII*,ENSG00000203865,0.16068801629512278
AII*,ENSG00000231252,0.16068801629512278
AII*,ENSG00000237928,0.16068801629512278
AII*,ENSG00000255929,0.16068801629512278
Astrocyte,ENSG00000243620,0.8827599220076734
BB,ENSG00000250971,0.8162731945291402
CAI,ENSG00000262801,0.7013769363166954
CAI,ENSG00000224141,0.7013769363166954
CAI,ENSG00000232878,0.7013769363166954
CAII,ENSG00000225206,0.7343367168358418
CAII,ENSG00000287159,0.7343367168358418
DB1,ENSG00000278254,0.7613919162447439
DB1,ENSG00000249464,0.7613919162447439
DB2,ENSG00000243004,0.6948314606741574
DB2,ENSG00000249803,0.6948314606741574
DB3a,ENSG00000267109,0.8418175748977719
DB3a,ENSG00000249464,0.8418175748977719
DB3b,ENSG00000228933,0.7315444913429235
DB3b,ENSG00000251574,0.7315444913429235
DB4a,ENSG00000265485,0.7589244320815948
DB4a,ENSG00000263551,0.7589244320815948
DB4b,ENSG00000272180,0.5178246161852719
DB4b,ENSG00000282943,0.5178246161852719
DB5,ENSG00000231424,0.702854028342087
DB5,ENSG00000254035,0.702854028342087
DB6,ENSG00000275443,0.7320906036631625
DB6,ENSG00000254035,0.7320906036631625
FMB,ENSG00000286980,0.6564510667118185
FMB,ENSG00000132204,0.6564510667118185
GB,ENSG00000259720,0.5482806345150644
GB,ENSG00000177822,0.5482806345150644
H1,ENSG00000277268,0.6956406166932483
H1,ENSG00000244040,0.6956406166932483
H2,ENSG00000244040,0.6482608254740898
H2,ENSG00000241359,0.6482608254740898
HAC2,ENSG00000271774,0.5469698642234242
HAC2,ENSG00000228740,0.5469698642234242
HAC2,ENSG00000251294,0.5469698642234242
HAC3,ENSG00000255595,0.6265949184511261
HAC3,ENSG00000231160,0.6265949184511261
HAC4,ENSG00000255132,0.5251398677613892
HAC4,ENSG00000178722,0.5251398677613892
HAC5,ENSG00000259867,0.6920772044517083
HAC5,ENSG00000258700,0.6920772044517083
HAC6,ENSG00000253503,0.6345485409425269
HAC6,ENSG00000253807,0.6345485409425269
HAC8,ENSG00000228566,0.6293326435592344
HAC8,ENSG00000231160,0.6293326435592344
HAC9,ENSG00000255132,0.541979161423466
HAC9,ENSG00000226965,0.541979161423466
HAC11,ENSG00000260807,0.6577842253951287
HAC11,ENSG00000258700,0.6577842253951287
HAC12,ENSG00000241956,0.4456186701893439
HAC12,ENSG00000177822,0.4456186701893439
HAC13,ENSG00000230426,0.7530512024265184
HAC14,ENSG00000271774,0.49480835790283295
HAC14,ENSG00000256422,0.49480835790283295
HAC14,ENSG00000215386,0.49480835790283295
HAC15,ENSG00000230490,0.5449616181308639
HAC15,ENSG00000260372,0.5449616181308639
HAC15,ENSG00000231689,0.5449616181308639
HAC17,ENSG00000248510,0.7490628904623073
HAC17,ENSG00000271774,0.7490628904623073
HAC18,ENSG00000226965,0.6677842972897458
HAC18,ENSG00000254226,0.6677842972897458
HAC19,ENSG00000264515,0.6330688144024635
HAC19,ENSG00000231252,0.6330688144024635
HAC20,ENSG00000254101,0.7477151752535904
HAC20,ENSG00000285681,0.7477151752535904
HAC21,ENSG00000236373,0.6935866983372921
HAC21,ENSG00000227681,0.6935866983372921
HAC21,ENSG00000246662,0.6935866983372921
HAC23,ENSG00000241743,0.5180251278489804
HAC23,ENSG00000284624,0.5180251278489804
HAC23,ENSG00000227681,0.5180251278489804
HAC24,ENSG00000248197,0.5357243557209722
HAC24,ENSG00000225649,0.5357243557209722
HAC24,ENSG00000225811,0.5357243557209722
HAC26,ENSG00000251680,0.4668122611340769
HAC26,ENSG00000287881,0.4668122611340769
HAC26,ENSG00000257458,0.4668122611340769
HAC27,ENSG00000241684,0.4838242953874646
HAC27,ENSG00000260372,0.4838242953874646
HAC27,ENSG00000229205,0.4838242953874646
HAC28,ENSG00000235257,0.5887521968365553
HAC28,ENSG00000178722,0.5887521968365553
HAC28,ENSG00000286749,0.5887521968365553
HAC29,ENSG00000287092,0.7544064193128044
HAC29,ENSG00000241684,0.7544064193128044
HAC30,ENSG00000178722,0.6507407407407407
HAC30,ENSG00000229205,0.6507407407407407
HAC30,ENSG00000234352,0.6507407407407407
HAC32,ENSG00000229315,0.6539304729094895
HAC32,ENSG00000241956,0.6539304729094895
HAC33,ENSG00000248587,0.7474053610094825
HAC33,ENSG00000255367,0.7474053610094825
HAC33,ENSG00000264515,0.7474053610094825
HAC34,ENSG00000287159,0.6064836357995967
HAC34,ENSG00000233611,0.6064836357995967
HAC35,ENSG00000246662,0.7370380584666298
HAC35,ENSG00000237928,0.7370380584666298
HAC37,ENSG00000250125,0.6967249489660069
HAC37,ENSG00000255367,0.6967249489660069
HAC37,ENSG00000241684,0.6967249489660069
HAC38,ENSG00000256654,0.42402826855123676
HAC38,ENSG00000227036,0.42402826855123676
HAC38,ENSG00000271774,0.42402826855123676
HAC39,ENSG00000231689,0.40985636453689944
HAC39,ENSG00000287092,0.40985636453689944
HAC39,ENSG00000260372,0.40985636453689944
HAC39,ENSG00000283982,0.40985636453689944
HAC40,ENSG00000277987,0.5443152649856561
HAC40,ENSG00000231424,0.5443152649856561
HAC40,ENSG00000284624,0.5443152649856561
HAC41,ENSG00000233611,0.5653165236051502
HAC41,ENSG00000237978,0.5653165236051502
HAC41,ENSG00000286648,0.5653165236051502
HAC42,ENSG00000287151,0.6178037463481698
HAC42,ENSG00000241956,0.6178037463481698
HAC44,ENSG00000287912,0.4842233009708738
HAC44,ENSG00000288105,0.4842233009708738
HAC45,ENSG00000227240,0.45251277683134583
HAC45,ENSG00000243069,0.45251277683134583
HAC45,ENSG00000287881,0.45251277683134583
HAC46,ENSG00000287912,0.51240267970306
HAC46,ENSG00000225811,0.51240267970306
HAC46,ENSG00000234352,0.51240267970306
HAC48,ENSG00000285294,0.5433042859683443
HAC48,ENSG00000241684,0.5433042859683443
HAC49,ENSG00000249678,0.538559592096877
HAC49,ENSG00000271774,0.538559592096877
HAC49,ENSG00000260372,0.538559592096877
HAC49,ENSG00000231689,0.538559592096877
HAC50,ENSG00000248307,0.5228642325416519
HAC50,ENSG00000246662,0.5228642325416519
HAC51,ENSG00000241743,0.4525197120329105
HAC51,ENSG00000233611,0.4525197120329105
HAC51,ENSG00000285820,0.4525197120329105
HAC51,ENSG00000255794,0.4525197120329105
HAC52,ENSG00000279668,0.18427161926871735
HAC52,ENSG00000237187,0.18427161926871735
HAC52,ENSG00000284052,0.18427161926871735
