clusterName,onTarget
AII,0.33160797
AII*,0.10035134
Astrocyte,1.0
BB,1.0
CAI,1.0
CAII,0.36134052
DB1,0.35798568
DB2,0.59433985
DB3a,0.6694148
DB3b,0.73141587
DB4a,1.0
DB4b,0.70159006
DB5,0.2577317
DB6,0.21018046
FMB,0.39666647
GB,0.16899048
H1,0.7073592
H2,0.36177617
HAC2,0.076822884
HAC3,0.20629545
HAC4,0.26109844
HAC5,0.3560978
HAC6,0.45846274
HAC8,0.17037028
HAC9,0.28013256
HAC11,0.21414626
HAC12,0.056082033
HAC13,0.5149169
HAC14,0.08515689
HAC15,0.123546556
HAC17,0.5867417
HAC18,0.16907331
HAC19,0.24257658
HAC20,0.33693147
HAC21,0.0984076
HAC23,0.16766846
HAC24,0.18622847
HAC26,0.3249868
HAC27,0.09299118
HAC28,0.21458939
HAC29,0.18900707
HAC30,0.12733212
HAC32,0.25583887
HAC33,0.2953225
HAC34,0.31936485
HAC35,0.081848055
HAC37,0.16153437
HAC38,0.08667584
HAC39,0.074212275
HAC40,0.3997864
HAC41,0.09613895
HAC42,0.19813496
HAC44,0.30282518
HAC45,0.14394599
HAC46,0.07727964
HAC48,0.20993349
HAC49,0.11818215
HAC50,0.3072007
HAC51,0.16601071
HAC52,0.08895396
HAC53,0.32350713
HAC54,0.5672854
HAC55,0.11330307
HAC56,0.08489692
HAC57,0.06085353
HAC59,1.0
HAC60,0.13866511
HAC62,0.15139686
HAC63,0.11186992
HAC64,0.14834054
HAC65,0.21269701
HAC66,0.12073107
HAC68,0.1161729
HAC71,0.14132941
HAC72,0.23235255
HAC74,0.036970843
HAC75,0.20531121
HAC77,0.11388251
HAC78,0.19774446
HAC79,0.11664961
HAC80,0.20389006
HAC81,0.119160295
HAC82,0.48292917
HAC84,0.15067823
HAC86,0.650998
HAC87,0.1312569
HAC88,0.115687706
HAC89,0.10540136
HAC90,0.114842094
HAC91,0.1346679
HAC92,0.24898659
HAC93,0.14738476
HAC95,0.24393952
HRGC3,1.0
HRGC4,0.14242889
HRGC5,0.14218304
HRGC9,0.27237815
HRGC10,0.14573854
HRGC11,1.0
IMB,0.22108209
MG,0.7678648
MG_OFF,0.1390146
MG_ON,0.24818754
ML_Cone,0.79904354
Microglia,1.0
OFF-SAC,0.08604891
OFF-SAC*,0.29626408
OFFx,0.8296534
ON-SAC,0.5308262
PENK,0.28774673
PG_OFF,0.1966418
PG_ON,0.32594165
RB,1.0
RPE,1.0
Rod,0.4252314
SEG,0.03385278
SEG*,0.09758749
S_Cone,0.81649756
VG3,0.5728439
VG3*,0.3699184
VIP,0.60720813
ipRGC,0.31439865
nNOS,0.03595366
