clusterName,markerGene,onTarget_per_gene,onTarget
AII,ENSG00000287249,0.55639434,0.33160797
AII,ENSG00000237928,0.1068216,0.33160797
AII*,ENSG00000287249,0.4436057,0.10035134
AII*,ENSG00000203865,0.2581671,0.10035134
AII*,ENSG00000231252,0.10035134,0.10035134
AII*,ENSG00000237928,0.09057639,0.10035134
AII*,ENSG00000255929,0.06927087,0.10035134
Astrocyte,ENSG00000243620,1.0,1.0
BB,ENSG00000250971,1.0,1.0
CAI,ENSG00000262801,1.0,1.0
CAI,ENSG00000224141,1.0,1.0
CAI,ENSG00000232878,1.0,1.0
CAII,ENSG00000225206,0.29245013,0.36134052
CAII,ENSG00000287159,0.43023095,0.36134052
DB1,ENSG00000278254,0.3406932,0.35798568
DB1,ENSG00000249464,0.37527812,0.35798568
DB2,ENSG00000243004,0.6301562,0.59433985
DB2,ENSG00000249803,0.5585235,0.59433985
DB3a,ENSG00000267109,1.0,0.6694148
DB3a,ENSG00000249464,0.33882967,0.6694148
DB3b,ENSG00000228933,1.0,0.73141587
DB3b,ENSG00000251574,0.4628317,0.73141587
DB4a,ENSG00000265485,1.0,1.0
DB4a,ENSG00000263551,1.0,1.0
DB4b,ENSG00000272180,1.0,0.70159006
DB4b,ENSG00000282943,0.40318006,0.70159006
DB5,ENSG00000231424,0.36860776,0.2577317
DB5,ENSG00000254035,0.14685567,0.2577317
DB6,ENSG00000275443,0.26785812,0.21018046
DB6,ENSG00000254035,0.15250279,0.21018046
FMB,ENSG00000286980,0.5831148,0.39666647
FMB,ENSG00000132204,0.2102181,0.39666647
GB,ENSG00000259720,0.21328668,0.16899048
GB,ENSG00000177822,0.12469428,0.16899048
H1,ENSG00000277268,1.0,0.7073592
H1,ENSG00000244040,0.41471845,0.7073592
H2,ENSG00000244040,0.58528155,0.36177617
H2,ENSG00000241359,0.1382708,0.36177617
HAC2,ENSG00000271774,0.15552384,0.076822884
HAC2,ENSG00000228740,0.076822884,0.076822884
HAC2,ENSG00000251294,0.053152516,0.076822884
HAC3,ENSG00000255595,0.24471286,0.20629545
HAC3,ENSG00000231160,0.16787803,0.20629545
HAC4,ENSG00000255132,0.34664005,0.26109844
HAC4,ENSG00000178722,0.17555684,0.26109844
HAC5,ENSG00000259867,0.53061694,0.3560978
HAC5,ENSG00000258700,0.18157865,0.3560978
HAC6,ENSG00000253503,0.555458,0.45846274
HAC6,ENSG00000253807,0.36146748,0.45846274
HAC8,ENSG00000228566,0.2472612,0.17037028
HAC8,ENSG00000231160,0.09347938,0.17037028
HAC9,ENSG00000255132,0.35617697,0.28013256
