software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,AII,7454,0.5692707190403042,0.6261061946902655,0.4176281191306681,499728,1859,4341,3113,2,"['ENSG00000287249', 'ENSG00000237928']","['ENSG00000287249', 'ENSG00000203865', 'ENSG00000250007', 'ENSG00000231252', 'ENSG00000234261', 'ENSG00000237928', 'ENSG00000255929', 'ENSG00000228222', 'ENSG00000256422', 'ENSG00000197585']",0.33160797
4.1,author_cell_type,AII*,1057,0.16068801629512278,0.14601542416452443,0.2686849574266793,506323,1661,773,284,5,"['ENSG00000287249', 'ENSG00000203865', 'ENSG00000231252', 'ENSG00000237928', 'ENSG00000255929']","['ENSG00000287249', 'ENSG00000203865', 'ENSG00000231252', 'ENSG00000234261', 'ENSG00000237928', 'ENSG00000255929', 'ENSG00000228222', 'ENSG00000197585', 'ENSG00000230461', 'ENSG00000231607']",0.10035134
4.1,author_cell_type,Astrocyte,7454,0.8827599220076734,0.9224449556358857,0.7531526697075396,501115,472,1840,5614,1,['ENSG00000243620'],"['ENSG00000243620', 'ENSG00000236790', 'ENSG00000173077', 'ENSG00000284977', 'ENSG00000247081', 'ENSG00000189223', 'ENSG00000227036', 'ENSG00000255595', 'ENSG00000285051', 'ENSG00000280780']",1.0
4.1,author_cell_type,BB,2931,0.8162731945291402,0.8769302760879738,0.6393722279085636,505847,263,1057,1874,1,['ENSG00000250971'],"['ENSG00000250971', 'ENSG00000227227', 'ENSG00000259720', 'ENSG00000254035', 'ENSG00000229205', 'ENSG00000177822', 'ENSG00000214870', 'ENSG00000254787', 'ENSG00000271945', 'ENSG00000258776']",1.0
4.1,author_cell_type,CAI,450,0.7013769363166954,0.9157303370786517,0.3622222222222222,508576,15,287,163,3,"['ENSG00000262801', 'ENSG00000224141', 'ENSG00000232878']","['ENSG00000270321', 'ENSG00000262801', 'ENSG00000224141', 'ENSG00000232878', 'ENSG00000285741', 'ENSG00000225206', 'ENSG00000248441', 'ENSG00000248587', 'ENSG00000226383', 'ENSG00000287092']",1.0
4.1,author_cell_type,CAII,3865,0.7343367168358418,0.8053742802303263,0.5428201811125485,504669,507,1767,2098,2,"['ENSG00000225206', 'ENSG00000287159']","['ENSG00000225206', 'ENSG00000232885', 'ENSG00000244302', 'ENSG00000248441', 'ENSG00000287159', 'ENSG00000287645', 'ENSG00000257599', 'ENSG00000255367', 'ENSG00000225811', 'ENSG00000275443']",0.36134052
4.1,author_cell_type,DB1,7454,0.7613919162447439,0.8955336866010598,0.4761202039173598,501173,414,3905,3549,2,"['ENSG00000278254', 'ENSG00000249464']","['ENSG00000278254', 'ENSG00000249464', 'ENSG00000253496', 'ENSG00000236467', 'ENSG00000265643', 'ENSG00000285783', 'ENSG00000231185', 'ENSG00000258776', 'ENSG00000248550', 'ENSG00000215386']",0.35798568
4.1,author_cell_type,DB2,7454,0.6948314606741574,0.8359015950256826,0.4148108398175476,500980,607,4362,3092,2,"['ENSG00000243004', 'ENSG00000249803']","['ENSG00000267055', 'ENSG00000243004', 'ENSG00000249803', 'ENSG00000132204', 'ENSG00000245552', 'ENSG00000251141', 'ENSG00000237928', 'ENSG00000280650', 'ENSG00000286648', 'ENSG00000258776']",0.59433985
4.1,author_cell_type,DB3a,7454,0.8418175748977719,0.9774709302325582,0.5413200965924336,501494,93,3419,4035,2,"['ENSG00000267109', 'ENSG00000249464']","['ENSG00000267109', 'ENSG00000232046', 'ENSG00000237750', 'ENSG00000249464', 'ENSG00000267659', 'ENSG00000282943', 'ENSG00000230333', 'ENSG00000258751', 'ENSG00000237928', 'ENSG00000244128']",0.6694148
4.1,author_cell_type,DB3b,7454,0.7315444913429235,0.8619639685359046,0.4557284679366783,501043,544,4057,3397,2,"['ENSG00000228933', 'ENSG00000251574']","['ENSG00000228933', 'ENSG00000286071', 'ENSG00000249803', 'ENSG00000251574', 'ENSG00000263146', 'ENSG00000267659', 'ENSG00000279240', 'ENSG00000253496', 'ENSG00000251141', 'ENSG00000231252']",0.73141587
4.1,author_cell_type,DB4a,7454,0.7589244320815948,0.9277415698498158,0.4392272605312584,501332,255,4180,3274,2,"['ENSG00000265485', 'ENSG00000263551']","['ENSG00000265485', 'ENSG00000263551', 'ENSG00000254607', 'ENSG00000234953', 'ENSG00000237750', 'ENSG00000236676', 'ENSG00000132204', 'ENSG00000251574', 'ENSG00000258751', 'ENSG00000279240']",1.0
4.1,author_cell_type,DB4b,4553,0.5178246161852719,0.6846330275229358,0.26224467384142325,503938,550,3359,1194,2,"['ENSG00000272180', 'ENSG00000282943']","['ENSG00000272180', 'ENSG00000282943', 'ENSG00000260858', 'ENSG00000236676', 'ENSG00000258751', 'ENSG00000132204', 'ENSG00000279240', 'ENSG00000254035', 'ENSG00000251141', 'ENSG00000231252']",0.70159006
4.1,author_cell_type,DB5,7454,0.702854028342087,0.8915776241357637,0.38060101958679904,501242,345,4617,2837,2,"['ENSG00000231424', 'ENSG00000254035']","['ENSG00000287621', 'ENSG00000243004', 'ENSG00000231424', 'ENSG00000255555', 'ENSG00000251141', 'ENSG00000254035', 'ENSG00000237978', 'ENSG00000244128', 'ENSG00000254787', 'ENSG00000228624']",0.2577317
4.1,author_cell_type,DB6,7454,0.7320906036631625,0.9825454545454545,0.36248993828816745,501539,48,4752,2702,2,"['ENSG00000275443', 'ENSG00000254035']","['ENSG00000286980', 'ENSG00000249464', 'ENSG00000275443', 'ENSG00000245552', 'ENSG00000259720', 'ENSG00000254035', 'ENSG00000237187', 'ENSG00000247809', 'ENSG00000265643', 'ENSG00000258776']",0.21018046
4.1,author_cell_type,FMB,7454,0.6564510667118185,0.7024823337561152,0.5201234236651462,499945,1642,3577,3877,2,"['ENSG00000286980', 'ENSG00000132204']","['ENSG00000287149', 'ENSG00000248752', 'ENSG00000250602', 'ENSG00000286980', 'ENSG00000286068', 'ENSG00000132204', 'ENSG00000258751', 'ENSG00000214870', 'ENSG00000231185', 'ENSG00000271945']",0.39666647
4.1,author_cell_type,GB,7454,0.5482806345150644,0.7271443699258736,0.27636168500134156,500814,773,5394,2060,2,"['ENSG00000259720', 'ENSG00000177822']","['ENSG00000286257', 'ENSG00000248197', 'ENSG00000255555', 'ENSG00000259720', 'ENSG00000231609', 'ENSG00000177822', 'ENSG00000254035', 'ENSG00000286961', 'ENSG00000284052', 'ENSG00000254787']",0.16899048
4.1,author_cell_type,H1,7454,0.6956406166932483,0.92180345191969,0.3510866648779179,501365,222,4837,2617,2,"['ENSG00000277268', 'ENSG00000244040']","['ENSG00000277268', 'ENSG00000267780', 'ENSG00000242816', 'ENSG00000244040', 'ENSG00000259203', 'ENSG00000235688', 'ENSG00000267659', 'ENSG00000233008', 'ENSG00000267476', 'ENSG00000286637']",0.7073592
4.1,author_cell_type,H2,7454,0.6482608254740898,0.8337137267688295,0.3430372954118594,501077,510,4897,2557,2,"['ENSG00000244040', 'ENSG00000241359']","['ENSG00000235688', 'ENSG00000244040', 'ENSG00000259203', 'ENSG00000233008', 'ENSG00000286736', 'ENSG00000241359', 'ENSG00000233593', 'ENSG00000286648', 'ENSG00000261008', 'ENSG00000230461']",0.36177617
4.1,author_cell_type,HAC2,7454,0.5469698642234242,0.7434358589647412,0.2658975046954655,500903,684,5472,1982,3,"['ENSG00000271774', 'ENSG00000228740', 'ENSG00000251294']","['ENSG00000271774', 'ENSG00000234352', 'ENSG00000228740', 'ENSG00000227681', 'ENSG00000251294', 'ENSG00000233723', 'ENSG00000249207', 'ENSG00000251003', 'ENSG00000224897', 'ENSG00000281880']",0.076822884
4.1,author_cell_type,HAC3,7454,0.6265949184511261,0.8547105561861521,0.3030587603971022,501203,384,5195,2259,2,"['ENSG00000255595', 'ENSG00000231160']","['ENSG00000250930', 'ENSG00000255595', 'ENSG00000231160', 'ENSG00000279249', 'ENSG00000234261', 'ENSG00000288105', 'ENSG00000255929', 'ENSG00000249207', 'ENSG00000228061', 'ENSG00000227028']",0.20629545
4.1,author_cell_type,HAC4,7454,0.5251398677613892,0.5761259465922678,0.38784545210625165,499460,2127,4563,2891,2,"['ENSG00000255132', 'ENSG00000178722']","['ENSG00000255132', 'ENSG00000225649', 'ENSG00000178722', 'ENSG00000226965', 'ENSG00000285294', 'ENSG00000243069', 'ENSG00000286637', 'ENSG00000287290', 'ENSG00000249859', 'ENSG00000248445']",0.26109844
4.1,author_cell_type,HAC5,7454,0.6920772044517083,0.7798728349046262,0.47719345317950096,500583,1004,3897,3557,2,"['ENSG00000259867', 'ENSG00000258700']","['ENSG00000259867', 'ENSG00000253807', 'ENSG00000258700', 'ENSG00000287092', 'ENSG00000231689', 'ENSG00000286961', 'ENSG00000240086', 'ENSG00000265751', 'ENSG00000223351', 'ENSG00000249806']",0.3560978
4.1,author_cell_type,HAC6,7454,0.6345485409425269,0.7265155020823693,0.4212503353903944,500405,1182,4314,3140,2,"['ENSG00000253503', 'ENSG00000253807']","['ENSG00000253503', 'ENSG00000254394', 'ENSG00000253807', 'ENSG00000256654', 'ENSG00000258700', 'ENSG00000287092', 'ENSG00000260664', 'ENSG00000233067', 'ENSG00000249806', 'ENSG00000261008']",0.45846274
4.1,author_cell_type,HAC8,7454,0.6293326435592344,0.8194678342876389,0.32640193184867183,501051,536,5021,2433,2,"['ENSG00000228566', 'ENSG00000231160']","['ENSG00000251488', 'ENSG00000228566', 'ENSG00000234261', 'ENSG00000279249', 'ENSG00000231160', 'ENSG00000249631', 'ENSG00000237928', 'ENSG00000249207', 'ENSG00000197585', 'ENSG00000225914']",0.17037028
4.1,author_cell_type,HAC9,7454,0.541979161423466,0.5337050805452292,0.5778105715052321,497824,3763,3147,4307,2,"['ENSG00000255132', 'ENSG00000226965']","['ENSG00000231969', 'ENSG00000255132', 'ENSG00000224812', 'ENSG00000226965', 'ENSG00000285294', 'ENSG00000227036', 'ENSG00000250320', 'ENSG00000279249', 'ENSG00000286637', 'ENSG00000287290']",0.28013256
