clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
AII,ENSG00000287249,0.04464505323780482,0.4738775,0.993464864668299
AII,ENSG00000203865,0.024112967230145728,0.4984457,0.9792272399683468
AII,ENSG00000250007,0.022852730627560956,0.3491904,0.9754098360655737
AII,ENSG00000231252,0.06641126711821625,0.96710956,0.9475257474868024
AII,ENSG00000234261,0.04170121223665386,0.68317866,0.9451461468563706
AII,ENSG00000237928,0.10300216355299827,1.9589121,0.9319728480987861
AII,ENSG00000255929,0.03154253024087672,0.48579076,0.9123441010225014
AII,ENSG00000228222,0.23950589288242866,2.0513668,0.911984519880326
AII,ENSG00000256422,0.03709486535264398,0.7148342,0.9041258599914488
AII,ENSG00000197585,0.018241173105942213,0.7179771,0.8853387568817764
AII*,ENSG00000287249,0.017720280135309133,0.37781614,0.9918032786885246
AII*,ENSG00000203865,0.01540514250952721,0.45479876,0.9772336824995572
AII*,ENSG00000231252,0.024004589310769542,0.7370459,0.9399533862950372
AII*,ENSG00000234261,0.0230857791423407,0.53557295,0.9386731009991442
AII*,ENSG00000237928,0.03201418670096706,1.6610048,0.9251423243616448
AII*,ENSG00000255929,0.018525074894718753,0.42239767,0.9034465668631382
AII*,ENSG00000228222,0.05986139870973378,1.808116,0.9001435554418408
AII*,ENSG00000197585,0.01811166746753597,0.7499758,0.8893638678261491
AII*,ENSG00000230461,0.018536577978958316,0.89004874,0.8662525527789945
AII*,ENSG00000231607,0.018458420275707866,0.29035458,0.8350643251763016
Astrocyte,ENSG00000243620,0.2576914948666634,1.3812782,1.0
Astrocyte,ENSG00000236790,0.10769105072665117,1.124124,1.0
Astrocyte,ENSG00000173077,0.0829165093854343,0.7578125,1.0
Astrocyte,ENSG00000284977,0.056577636148423927,0.67360973,1.0
Astrocyte,ENSG00000247081,0.006213082807940695,0.56445587,1.0
Astrocyte,ENSG00000189223,0.01122108205977943,0.59643877,1.0
Astrocyte,ENSG00000227036,0.15886120761178182,1.9529209,0.9908800491544066
Astrocyte,ENSG00000255595,0.05672640832495624,1.1771307,0.9882863877249546
Astrocyte,ENSG00000285051,0.007954100243898966,0.6399636,0.9772229429151191
Astrocyte,ENSG00000280780,0.06695893443033964,1.4442264,0.9740834021177448
BB,ENSG00000250971,0.45784561390462897,0.7846285,1.0
BB,ENSG00000227227,0.025430173167549575,0.7041818,0.9785243253238866
BB,ENSG00000259720,0.02955345249057855,0.7703998,0.9692909214340273
BB,ENSG00000254035,0.0408265917635309,1.0782306,0.949854889854056
BB,ENSG00000229205,0.030593181243647703,0.48276222,0.918633971546517
BB,ENSG00000177822,0.028693442017304283,0.6583154,0.9142537234259434
BB,ENSG00000214870,0.02015601445702181,0.54067093,0.8953396365290782
BB,ENSG00000254787,0.04020140005712472,0.66853523,0.8436768230844717
BB,ENSG00000271945,0.04624286813441267,1.3732091,0.8328261228858448
BB,ENSG00000258776,0.020956723344018907,0.7883094,0.8219858197892298
CAI,ENSG00000270321,0.11654352627789658,0.7060498,1.0
CAI,ENSG00000262801,0.03238814301436916,0.29734796,1.0
CAI,ENSG00000224141,0.03794388931323411,0.37123242,1.0
CAI,ENSG00000232878,0.02708644101825148,0.46862715,1.0
CAI,ENSG00000285741,0.023339508242714125,0.16005722,1.0
CAI,ENSG00000225206,0.11028085188765567,1.4665077,0.9966120656396522
CAI,ENSG00000248441,0.017041786450065786,0.31063458,0.9930910067480119
CAI,ENSG00000248587,0.018208867046494256,0.24614882,0.9918032786885246
CAI,ENSG00000226383,0.01918549690319981,0.9814632,0.9747033148515419
CAI,ENSG00000287092,0.03718522375307405,1.4548941,0.9632427868295889
CAII,ENSG00000225206,0.08988201976962772,0.60614866,0.9918032786885246
CAII,ENSG00000232885,0.061974473582301313,0.42198858,0.9918032786885246
CAII,ENSG00000244302,0.0313736471136454,0.25247565,0.9918032786885246
CAII,ENSG00000248441,0.026516388923692007,0.261833,0.9918032786885246
CAII,ENSG00000287159,0.09441800703823208,0.67462355,0.9899435922747752
CAII,ENSG00000287645,0.05868609554213693,0.5813078,0.9839597007290262
CAII,ENSG00000257599,0.01604248455826563,0.32819548,0.9809530909921302
CAII,ENSG00000255367,0.06275068936259122,0.58470774,0.9791979687135728
CAII,ENSG00000225811,0.08002131412766332,1.0102572,0.9740768353470036
CAII,ENSG00000275443,0.04477319016623091,0.792887,0.9643079208545997
DB1,ENSG00000278254,0.19741791238755582,1.0601909,0.9918032786885246
DB1,ENSG00000249464,0.22841433979745115,1.426167,0.9863549959464152
DB1,ENSG00000253496,0.08055684378788638,0.80603075,0.9759839353014211
DB1,ENSG00000236467,0.02080918272181948,0.6201147,0.921392985054704
DB1,ENSG00000265643,0.05367153387393852,1.319215,0.9149498148042647
DB1,ENSG00000285783,0.08297013955782619,0.85909975,0.8531159861165969
DB1,ENSG00000231185,0.035691338577385344,0.98323846,0.8419670276954526
DB1,ENSG00000258776,0.029067496632542048,0.87373114,0.8305746419507949
DB1,ENSG00000248550,0.06909943712591206,1.854383,0.8042232990264893
DB1,ENSG00000215386,0.02377045828454629,0.99736726,0.7709193664496062
DB2,ENSG00000267055,0.08953785510880125,0.5261148,1.0
DB2,ENSG00000243004,0.10368493988402477,0.9687314,0.9951892778521678
DB2,ENSG00000249803,0.25562121203100074,1.0897958,0.9935210234806185
DB2,ENSG00000132204,0.039345342547274946,0.80205876,0.9754098360655737
DB2,ENSG00000245552,0.031054292555204973,0.59614897,0.9696946837862984
DB2,ENSG00000251141,0.06420379360814746,0.73888844,0.9485024052565215
DB2,ENSG00000237928,0.051735884893950305,0.90252274,0.9058748170977733
DB2,ENSG00000280650,0.026462574362526883,0.68899006,0.8853011014031582
DB2,ENSG00000286648,0.04649448392183083,0.64762735,0.8848535213314119
DB2,ENSG00000258776,0.017712901165695637,0.8794254,0.8311409324896141
DB3a,ENSG00000267109,0.28982825637120935,1.0295976,1.0
DB3a,ENSG00000232046,0.12927266357818287,0.99541754,1.0
DB3a,ENSG00000237750,0.06067636802021237,0.7617612,0.992585114768294
DB3a,ENSG00000249464,0.09471146152771508,1.2876523,0.9848871817354297
DB3a,ENSG00000267659,0.046320998324464985,0.60086393,0.9847044524599294
DB3a,ENSG00000282943,0.02841450634191789,0.9616019,0.9815098833842356
DB3a,ENSG00000230333,0.009433594211881564,0.57593644,0.979434360734752
DB3a,ENSG00000258751,0.054670924168696046,1.2569889,0.9768196925765178
DB3a,ENSG00000237928,0.028206066061571455,0.7777693,0.9026099453206922
DB3a,ENSG00000244128,0.027727935768085462,0.8772867,0.884827978786875
DB3b,ENSG00000228933,0.12992015596785458,0.90499306,1.0
DB3b,ENSG00000286071,0.03265892523488201,0.52185917,1.0
DB3b,ENSG00000249803,0.10139672672495711,0.8614129,0.9918032786885246
DB3b,ENSG00000251574,0.08635130199920879,1.0625671,0.9904867825938053
DB3b,ENSG00000263146,0.042219440528959866,0.55436075,0.9897170838762502
DB3b,ENSG00000267659,0.05597216447549059,0.6617886,0.9861125696877964
DB3b,ENSG00000279240,0.06762274382059487,0.85263133,0.980047806364591
DB3b,ENSG00000253496,0.0934427159114415,0.7495763,0.9754098360655737
DB3b,ENSG00000251141,0.16682880602187064,1.6960948,0.9749977720565484
DB3b,ENSG00000231252,0.03137544565298316,0.9257046,0.945911922415749
DB4a,ENSG00000265485,0.24634019993010203,1.251338,1.0
DB4a,ENSG00000263551,0.07913760178919083,1.1120579,1.0
DB4a,ENSG00000254607,0.015298901460062795,0.5244547,1.0
DB4a,ENSG00000234953,0.017556800537492194,0.599521,1.0
DB4a,ENSG00000237750,0.02894528706234119,0.68910134,0.9918032786885246
DB4a,ENSG00000236676,0.029592813947536697,0.8881402,0.9891533245805835
DB4a,ENSG00000132204,0.15790635107375497,2.0571094,0.9886426764433501
DB4a,ENSG00000251574,0.036654553584493446,0.5919206,0.9836065573770492
DB4a,ENSG00000258751,0.05022595334894844,1.6855886,0.9807692004031823
DB4a,ENSG00000279240,0.026323590491329818,0.8753896,0.9805665211599381
DB4b,ENSG00000272180,0.09931116162528329,0.5886322,1.0
DB4b,ENSG00000282943,0.13517586256555125,1.465381,0.9878665472640366
DB4b,ENSG00000260858,0.03920863065599334,0.59639734,0.9876075118291573
DB4b,ENSG00000236676,0.027014699882111862,0.60780233,0.9841504907998883
DB4b,ENSG00000258751,0.07204045968611753,1.6568838,0.9804360358441462
DB4b,ENSG00000132204,0.09261134637153609,1.0166286,0.9771398379177344
DB4b,ENSG00000279240,0.027383158783827764,0.570439,0.9754098360655737
DB4b,ENSG00000254035,0.06114829497485097,1.1545008,0.951187721529945
DB4b,ENSG00000251141,0.024144055896658197,0.7932241,0.9509070315321938
DB4b,ENSG00000231252,0.037368346463645986,0.8246124,0.9422956661122744
DB5,ENSG00000287621,0.030201552086051072,0.7581305,0.9925706777416292
DB5,ENSG00000243004,0.07290204426493557,0.5685563,0.9918032786885246
DB5,ENSG00000231424,0.13661757512844058,0.50905406,0.9866530665608703
DB5,ENSG00000255555,0.015100139234354501,0.5819373,0.9703056675488831
DB5,ENSG00000251141,0.08221043217889465,1.2158834,0.965123179506083
DB5,ENSG00000254035,0.08976572178694,1.2133405,0.9527598389836608
DB5,ENSG00000237978,0.10363369098616015,1.0944338,0.9381115128759479
DB5,ENSG00000244128,0.11546503202501476,1.2094709,0.9157199634880316
DB5,ENSG00000254787,0.0431860538681164,1.417556,0.9051475862010581
DB5,ENSG00000228624,0.13655036823074593,0.94110835,0.8912833767836211
DB6,ENSG00000286980,0.0886869555809718,0.8137832,0.9918032786885246
DB6,ENSG00000249464,0.09037676412212269,1.0864744,0.9836065573770492
DB6,ENSG00000275443,0.26856519339723295,1.2631432,0.9775957426086801
DB6,ENSG00000245552,0.017905209756950185,0.65689623,0.9724972033109821
DB6,ENSG00000259720,0.04817562403029393,0.7620367,0.969043854807244
DB6,ENSG00000254035,0.07671950910067502,1.2599978,0.9544487141194891
DB6,ENSG00000237187,0.02110531130240512,0.8478151,0.9526778024728181
DB6,ENSG00000247809,0.1301844806228237,0.87171316,0.925971550042512
DB6,ENSG00000265643,0.024030396794908777,1.3131552,0.9145573294553601
DB6,ENSG00000258776,0.037466910384875284,1.3760576,0.8723128794646654
FMB,ENSG00000287149,0.08888381240788655,0.69156826,1.0
FMB,ENSG00000248752,0.05284816694765908,0.6658716,1.0
FMB,ENSG00000250602,0.03614085489328224,0.6405872,0.9965492819176346
FMB,ENSG00000286980,0.18636469261082558,1.1382728,0.9941399331952705
FMB,ENSG00000286068,0.03627080545042382,0.4210305,0.9797453655571234
FMB,ENSG00000132204,0.10638630098461181,1.0316299,0.9773530637631651
FMB,ENSG00000258751,0.0715434969480378,1.0407836,0.9754098360655737
FMB,ENSG00000214870,0.027995365861356935,0.58099365,0.9015510942115158
FMB,ENSG00000231185,0.040601444752889515,1.1662383,0.8628961551384847
FMB,ENSG00000271945,0.10913272997248999,1.4118012,0.8347332545968352
GB,ENSG00000286257,0.03646874458048788,0.6036112,0.990337643467012
GB,ENSG00000248197,0.0733779806481205,0.4344941,0.9790511761532456
GB,ENSG00000255555,0.02534135110062238,0.76052403,0.9735167348971132
GB,ENSG00000259720,0.045003085996930536,0.78251016,0.9697661844433331
GB,ENSG00000231609,0.01941151271472272,0.5486468,0.9505924841419595
GB,ENSG00000177822,0.12857998277479937,1.1261897,0.9439155430090233
GB,ENSG00000254035,0.019666083134548942,0.57849264,0.9426229508196722
GB,ENSG00000286961,0.041015054300050334,0.6339382,0.9356216465840574
GB,ENSG00000284052,0.01839999888062638,0.5081564,0.9331105053424835
GB,ENSG00000254787,0.07100062792282939,1.6705308,0.9170289220380001
H1,ENSG00000277268,0.1436290741883384,0.22764853,1.0
H1,ENSG00000267780,0.1181629653626897,0.46641934,1.0
H1,ENSG00000242816,0.018497610262341646,0.31425482,1.0
H1,ENSG00000244040,0.10593109771298591,0.7671014,0.9918032786885246
H1,ENSG00000259203,0.11973309507978792,0.565308,0.9918032786885246
H1,ENSG00000235688,0.03591651188029041,0.41279605,0.9918032786885246
H1,ENSG00000267659,0.0805487455740758,0.5203823,0.9836065573770492
H1,ENSG00000233008,0.034650015000595884,0.9038549,0.9763346241145837
H1,ENSG00000267476,0.016077038967062144,0.5143479,0.9602346708540057
H1,ENSG00000286637,0.04416853327751898,0.28727758,0.9098360655737705
H2,ENSG00000235688,0.07994114015087736,0.6137191,0.9944867706689678
H2,ENSG00000244040,0.22117563751374716,1.0825906,0.9941919719586607
H2,ENSG00000259203,0.1127662625370091,0.56945837,0.99186301915372
H2,ENSG00000233008,0.05032717032173318,1.0250404,0.9791324651632153
H2,ENSG00000286736,0.03694400898710237,0.66566354,0.9594671061781587
H2,ENSG00000241359,0.08331923866115427,0.43547052,0.9489165090146612
H2,ENSG00000233593,0.019680463220193473,0.43630105,0.9370473799158315
H2,ENSG00000286648,0.04235964190732433,0.77273357,0.9015607047276418
H2,ENSG00000261008,0.04534258351664074,0.88458514,0.850193740403066
H2,ENSG00000230461,0.03039638909911923,0.6408273,0.8364564082661613
HAC2,ENSG00000271774,0.17793140869525714,1.3552716,0.9564392972187917
HAC2,ENSG00000234352,0.11095899875724523,0.8579923,0.9149203608270551
HAC2,ENSG00000228740,0.11018948338324376,1.1902287,0.9049641851518975
HAC2,ENSG00000227681,0.08339550211259483,0.56964624,0.8953870407870559
HAC2,ENSG00000251294,0.10667520026835452,0.47483665,0.860513685668101
HAC2,ENSG00000233723,0.0778232261218973,0.84609365,0.8537188709759321
HAC2,ENSG00000249207,0.05613706478330294,0.69558716,0.8139302447193959
HAC2,ENSG00000251003,0.06590734325541547,1.3761618,0.7273582630470151
HAC2,ENSG00000224897,0.04886601111922325,0.68876636,0.6250188575416314
HAC2,ENSG00000281880,0.052786982941815455,0.69689953,0.6083682668013651
HAC3,ENSG00000250930,0.04711518959056687,0.39170796,0.9858297818019742
HAC3,ENSG00000255595,0.1499262502229373,0.6997128,0.9802941254905013
HAC3,ENSG00000231160,0.18662069376949858,1.2449636,0.959371267283549
HAC3,ENSG00000279249,0.06969785317674058,0.6974431,0.949727686702228
HAC3,ENSG00000234261,0.07213273576213854,0.706939,0.9464388069559316
HAC3,ENSG00000288105,0.05753452311740873,0.39315426,0.9452782923080882
HAC3,ENSG00000255929,0.026397525398417228,0.4156297,0.9025416882311712
HAC3,ENSG00000249207,0.03268267955672495,0.83088523,0.8405470940910402
HAC3,ENSG00000228061,0.0341377419999038,0.77802116,0.8366329821406818
HAC3,ENSG00000227028,0.02531461125627113,0.54663026,0.7904732613289942
HAC4,ENSG00000255132,0.08403398585933994,0.6666527,0.9847760317755527
HAC4,ENSG00000225649,0.029150082929475983,0.25175163,0.9754098360655737
HAC4,ENSG00000178722,0.07974405187030477,0.4428717,0.9654531561937488
HAC4,ENSG00000226965,0.08179284185032196,1.3890994,0.961353533580655
HAC4,ENSG00000285294,0.023461095340431067,0.43621245,0.9607541170276579
HAC4,ENSG00000243069,0.024958552212388373,0.22402358,0.9510259579439633
HAC4,ENSG00000286637,0.02540422758508348,0.66885006,0.9228106898362519
HAC4,ENSG00000287290,0.03432543813390775,1.0052309,0.9089656183954145
HAC4,ENSG00000249859,0.032155460957025386,0.5495206,0.894879344545427
HAC4,ENSG00000248445,0.03457914154163327,1.080745,0.8645578349222902
HAC5,ENSG00000259867,0.2858262349281321,1.5931752,0.9927491921870435
HAC5,ENSG00000253807,0.11391295931574351,1.4380484,0.9828925929108604
HAC5,ENSG00000258700,0.09249515486227737,1.477979,0.9634326515627689
HAC5,ENSG00000287092,0.045750508197682095,1.0524436,0.9554557590211024
HAC5,ENSG00000231689,0.035880268651805707,0.7605698,0.9148780337122621
HAC5,ENSG00000286961,0.01973058761503282,0.35459405,0.9122007420805635
HAC5,ENSG00000240086,0.024194571036821596,0.6564414,0.9096342769802593
HAC5,ENSG00000265751,0.0332037205987425,0.767148,0.9095473817137422
HAC5,ENSG00000223351,0.05865239470549604,0.69873416,0.9093172257063818
HAC5,ENSG00000249806,0.03208315944387104,1.0533502,0.9014194070315752
HAC6,ENSG00000253503,0.09882983012505323,0.5614025,0.9934400310281848
HAC6,ENSG00000254394,0.05651952071402392,0.43199188,0.9923051737371038
HAC6,ENSG00000253807,0.23188299376627242,1.6990405,0.98552048694892
HAC6,ENSG00000256654,0.029879656025569714,0.37023148,0.9584569657435182
HAC6,ENSG00000258700,0.03758688216995436,0.6990793,0.9475858108919175
HAC6,ENSG00000287092,0.028329031002516727,0.6421031,0.9459567431543694
