,0
AII,230
AII*,788
Astrocyte,251
BB,165
CAI,1685
CAII,1073
DB1,130
DB2,175
DB3a,193
DB3b,192
DB4a,171
DB4b,161
DB5,159
DB6,137
FMB,172
GB,155
H1,332
H2,269
HAC11,273
HAC12,102
HAC13,234
HAC14,87
HAC15,164
HAC17,101
HAC18,343
HAC19,252
HAC2,101
HAC20,94
HAC21,210
HAC23,327
HAC24,414
HAC26,315
HAC27,96
HAC28,603
HAC29,128
HAC3,219
HAC30,257
HAC32,147
HAC33,833
HAC34,550
HAC35,190
HAC37,542
HAC38,288
HAC39,495
HAC4,376
HAC40,551
HAC41,290
HAC42,110
HAC44,175
HAC45,448
HAC46,246
HAC48,131
HAC49,347
HAC5,224
HAC50,151
HAC51,463
HAC52,137
HAC53,170
HAC54,728
HAC55,166
HAC56,204
HAC57,153
HAC59,621
HAC6,166
HAC60,158
HAC62,416
HAC63,1339
HAC64,170
HAC65,274
HAC66,1686
HAC68,1029
HAC71,952
HAC72,1186
HAC74,342
HAC75,915
HAC77,608
HAC78,313
HAC79,852
HAC8,135
HAC80,1058
HAC81,1227
HAC82,1566
HAC84,689
HAC86,2077
HAC87,1370
HAC88,427
HAC89,1297
HAC9,455
HAC90,572
HAC91,447
HAC92,903
HAC93,554
HAC95,604
HRGC10,2503
HRGC11,2626
HRGC3,1230
HRGC4,175
HRGC5,81
HRGC9,1489
IMB,218
MG,308
MG_OFF,1107
MG_ON,1216
ML_Cone,793
Microglia,193
OFF-SAC,155
OFF-SAC*,758
OFFx,101
ON-SAC,210
PENK,137
PG_OFF,2203
PG_ON,1676
RB,292
RPE,345
Rod,315
SEG,115
SEG*,576
S_Cone,867
VG3,171
VG3*,459
VIP,277
ipRGC,1071
nNOS,203
