clusterName,onTarget
AII,0.26062223
AII*,0.025316905
Astrocyte,1.0
BB,1.0
CAI,0.61633426
CAII,0.49662465
DB1,0.24758683
DB2,0.11147166
DB3a,0.10077453
DB3b,0.124018505
DB4a,0.18346502
DB4b,0.08308474
DB5,0.5613894
DB6,1.0
FMB,0.19750278
GB,0.24776766
H1,0.52101755
H2,0.79973143
HAC2,0.09225696
HAC3,0.22075555
HAC4,0.09367535
HAC5,0.050736584
HAC6,0.07002344
HAC8,0.23602264
HAC9,0.17687608
HAC11,0.47834697
HAC12,0.19381884
HAC13,0.15161699
HAC14,0.19741526
HAC15,0.08529517
HAC17,0.37423486
HAC18,0.15335351
HAC19,0.17570099
HAC20,0.05819537
HAC21,0.5811313
HAC23,0.22540697
HAC24,0.2694506
HAC26,0.08837985
HAC27,0.43088856
HAC28,0.098656505
HAC29,0.16613197
HAC30,0.09613548
HAC32,0.17738292
HAC33,0.61026543
HAC34,0.18487734
HAC35,0.084552206
HAC37,0.14571491
HAC38,0.06826241
HAC39,0.06656508
HAC40,0.6198192
HAC41,0.19016597
HAC42,0.09987818
HAC44,0.6005423
HAC45,0.18118463
HAC46,0.26015967
HAC48,0.31619653
HAC49,0.12146745
HAC50,0.34990242
HAC51,0.3196903
HAC52,0.099531405
HAC53,0.11570462
HAC54,0.12342875
HAC55,0.13553743
HAC56,0.14447446
HAC57,0.16904007
HAC59,0.61527884
HAC60,0.1157174
HAC62,0.11666016
HAC63,0.040616784
HAC64,0.19380575
HAC65,0.17969632
HAC66,0.035320874
HAC68,0.074036896
HAC71,0.23688674
HAC72,0.18097404
HAC74,0.04053333
HAC75,0.021769991
HAC77,0.100474924
HAC78,0.6098342
HAC79,0.2521104
HAC80,0.18155213
HAC81,0.117959395
HAC82,0.06826281
HAC84,0.10559458
HAC86,0.07340274
HAC87,0.048387595
HAC88,0.07311772
HAC89,0.121408276
HAC90,0.08607334
HAC91,0.07408177
HAC92,0.3495577
HAC93,0.16316164
HAC95,0.20445791
HRGC3,0.8010979
HRGC4,0.12687817
HRGC5,0.20218582
HRGC9,0.08652425
HRGC10,0.017320024
HRGC11,0.2633967
IMB,0.21477476
MG,0.6955585
MG_OFF,0.078399606
MG_ON,0.598561
ML_Cone,0.5455675
Microglia,1.0
OFF-SAC,0.6662644
OFF-SAC*,0.0154526355
OFFx,0.50445056
ON-SAC,0.46319503
PENK,0.5299462
PG_OFF,0.3754443
PG_ON,0.22699893
RB,0.3956972
RPE,1.0
Rod,0.19861212
SEG,0.10530045
SEG*,0.08027056
S_Cone,1.0
VG3,0.26724097
VG3*,0.028684912
VIP,0.59100753
ipRGC,0.322854
nNOS,0.26867208
