clusterName,markerGene,onTarget_per_gene,onTarget
AII,ENSG00000113504,0.35116327,0.26062223
AII,ENSG00000165899,0.1700812,0.26062223
AII*,ENSG00000113504,0.2677222,0.025316905
AII*,ENSG00000188107,0.026426075,0.025316905
AII*,ENSG00000042781,0.020438645,0.025316905
AII*,ENSG00000162946,0.024207737,0.025316905
Astrocyte,ENSG00000196092,1.0,1.0
Astrocyte,ENSG00000075891,1.0,1.0
BB,ENSG00000215474,1.0,1.0
BB,ENSG00000147257,1.0,1.0
BB,ENSG00000113262,0.119992584,1.0
CAI,ENSG00000070193,1.0,0.61633426
CAI,ENSG00000180176,0.61633426,0.61633426
CAI,ENSG00000106018,0.31800726,0.61633426
CAII,ENSG00000104313,0.59953797,0.49662465
CAII,ENSG00000075223,0.39371133,0.49662465
DB1,ENSG00000169836,0.34962025,0.24758683
DB1,ENSG00000053747,0.14555341,0.24758683
DB2,ENSG00000163377,0.12657322,0.11147166
DB2,ENSG00000147862,0.0963701,0.11147166
DB3a,ENSG00000170381,0.13392738,0.10077453
DB3a,ENSG00000171189,0.067621686,0.10077453
DB3b,ENSG00000110693,0.20692268,0.124018505
DB3b,ENSG00000105507,0.124018505,0.124018505
DB3b,ENSG00000162946,0.103788994,0.124018505
DB4a,ENSG00000110693,0.21345624,0.18346502
DB4a,ENSG00000113262,0.1534738,0.18346502
DB4b,ENSG00000186314,0.14046608,0.08308474
DB4b,ENSG00000166342,0.08308474,0.08308474
DB4b,ENSG00000162599,0.069620565,0.08308474
DB5,ENSG00000082293,1.0,0.5613894
DB5,ENSG00000186314,0.12277873,0.5613894
DB6,ENSG00000197826,1.0,1.0
FMB,ENSG00000169836,0.2566587,0.19750278
FMB,ENSG00000163377,0.13834685,0.19750278
GB,ENSG00000182601,0.30320135,0.24776766
GB,ENSG00000197442,0.19233398,0.24776766
H1,ENSG00000157890,0.53643334,0.52101755
H1,ENSG00000205922,0.5056017,0.52101755
H2,ENSG00000136842,1.0,0.79973143
H2,ENSG00000153976,0.59946287,0.79973143
HAC2,ENSG00000182463,0.10892084,0.09225696
HAC2,ENSG00000151952,0.075593084,0.09225696
HAC3,ENSG00000134853,0.30991834,0.22075555
HAC3,ENSG00000146648,0.13159277,0.22075555
HAC4,ENSG00000204767,0.12404975,0.09367535
HAC4,ENSG00000187720,0.09367535,0.09367535
HAC4,ENSG00000154678,0.049014274,0.09367535
HAC5,ENSG00000138759,0.060729545,0.050736584
HAC5,ENSG00000185483,0.050736584,0.050736584
HAC5,ENSG00000114757,0.04937048,0.050736584
HAC6,ENSG00000178573,0.20713468,0.07002344
HAC6,ENSG00000126733,0.07002344,0.07002344
HAC6,ENSG00000114757,0.04314567,0.07002344
HAC8,ENSG00000164694,0.47619903,0.23602264
HAC8,ENSG00000112319,0.23602264,0.23602264
HAC8,ENSG00000113805,0.05907837,0.23602264
HAC9,ENSG00000140287,0.20148472,0.17687608
HAC9,ENSG00000187147,0.15226744,0.17687608
HAC11,ENSG00000149554,0.5694363,0.47834697
HAC11,ENSG00000170962,0.38725764,0.47834697
HAC12,ENSG00000008441,0.24522427,0.19381884
HAC12,ENSG00000119866,0.14241341,0.19381884
HAC13,ENSG00000189108,0.19124754,0.15161699
HAC13,ENSG00000140945,0.11198645,0.15161699
HAC14,ENSG00000128918,0.25541586,0.19741526
HAC14,ENSG00000165973,0.13941467,0.19741526
HAC15,ENSG00000154080,0.1269974,0.08529517
HAC15,ENSG00000182732,0.043592945,0.08529517
HAC17,ENSG00000125844,0.6346787,0.37423486
HAC17,ENSG00000182463,0.11379099,0.37423486
HAC18,ENSG00000140287,0.22400585,0.15335351
HAC18,ENSG00000089169,0.082701184,0.15335351
HAC19,ENSG00000164326,0.192899,0.17570099
HAC19,ENSG00000187135,0.15850298,0.17570099
HAC20,ENSG00000132321,0.082466446,0.05819537
HAC20,ENSG00000169933,0.056701265,0.05819537
HAC20,ENSG00000081479,0.05819537,0.05819537
HAC21,ENSG00000107593,1.0,0.5811313
HAC21,ENSG00000259417,0.16226259,0.5811313
HAC23,ENSG00000113100,0.254958,0.22540697
HAC23,ENSG00000147246,0.22540697,0.22540697
HAC23,ENSG00000165973,0.1264414,0.22540697
HAC24,ENSG00000122585,0.47034362,0.2694506
HAC24,ENSG00000162670,0.06855758,0.2694506
HAC26,ENSG00000112419,0.095970735,0.08837985
HAC26,ENSG00000154080,0.08837985,0.08837985
HAC26,ENSG00000163377,0.08129521,0.08837985
HAC27,ENSG00000106018,0.68199265,0.43088856
HAC27,ENSG00000141668,0.17978446,0.43088856
HAC28,ENSG00000122585,0.25423384,0.098656505
HAC28,ENSG00000144668,0.098656505,0.098656505
HAC28,ENSG00000104043,0.079185486,0.098656505
HAC29,ENSG00000187147,0.16856882,0.16613197
HAC29,ENSG00000183287,0.16369514,0.16613197
HAC30,ENSG00000110975,0.17771147,0.09613548
HAC30,ENSG00000112964,0.09613548,0.09613548
HAC30,ENSG00000151952,0.058507707,0.09613548
HAC32,ENSG00000146376,0.21582575,0.17738292
HAC32,ENSG00000161270,0.13894007,0.17738292
HAC33,ENSG00000171126,0.7250277,0.61026543
HAC33,ENSG00000135272,0.61026543,0.61026543
HAC33,ENSG00000082684,0.50319254,0.61026543
HAC34,ENSG00000165973,0.19061391,0.18487734
HAC34,ENSG00000179399,0.17914078,0.18487734
HAC35,ENSG00000185053,0.08538249,0.084552206
HAC35,ENSG00000072657,0.08372192,0.084552206
HAC37,ENSG00000111799,0.2227224,0.14571491
HAC37,ENSG00000147246,0.19727924,0.14571491
HAC37,ENSG00000188517,0.09415058,0.14571491
HAC37,ENSG00000174473,0.052628193,0.14571491
HAC38,ENSG00000178573,0.21960987,0.06826241
HAC38,ENSG00000182463,0.06826241,0.06826241
HAC38,ENSG00000126733,0.051600132,0.06826241
HAC39,ENSG00000183287,0.17958309,0.06656508
HAC39,ENSG00000116183,0.07880473,0.06656508
HAC39,ENSG00000174473,0.054325435,0.06656508
HAC39,ENSG00000188580,0.041224595,0.06656508
HAC40,ENSG00000198732,1.0,0.6198192
HAC40,ENSG00000171502,0.23963846,0.6198192
HAC41,ENSG00000006128,0.25308365,0.19016597
HAC41,ENSG00000128573,0.19016597,0.19016597
HAC41,ENSG00000187147,0.12290998,0.19016597
HAC42,ENSG00000108001,0.14446297,0.09987818
HAC42,ENSG00000152784,0.09987818,0.09987818
HAC42,ENSG00000154654,0.05449793,0.09987818
HAC44,ENSG00000011465,1.0,0.6005423
HAC44,ENSG00000134853,0.20108455,0.6005423
HAC45,ENSG00000041515,0.23392972,0.18118463
HAC45,ENSG00000134516,0.12843955,0.18118463
HAC46,ENSG00000112562,0.3792615,0.26015967
HAC46,ENSG00000122584,0.14105783,0.26015967
HAC48,ENSG00000153993,0.5407791,0.31619653
HAC48,ENSG00000081479,0.09161394,0.31619653
HAC49,ENSG00000178573,0.19962053,0.12146745
HAC49,ENSG00000180287,0.12146745,0.12146745
HAC49,ENSG00000154080,0.115310825,0.12146745
HAC50,ENSG00000165105,0.60616106,0.34990242
HAC50,ENSG00000144227,0.09364378,0.34990242
HAC51,ENSG00000178031,0.37559488,0.3196903
HAC51,ENSG00000147246,0.2637857,0.3196903
HAC52,ENSG00000112419,0.099531405,0.099531405
HAC52,ENSG00000140945,0.10395568,0.099531405
HAC52,ENSG00000150394,0.06546532,0.099531405
HAC53,ENSG00000112419,0.11758135,0.11570462
HAC53,ENSG00000140945,0.11570462,0.11570462
HAC53,ENSG00000108018,0.053964525,0.11570462
HAC54,ENSG00000185942,0.16799909,0.12342875
HAC54,ENSG00000156140,0.12342875,0.12342875
HAC54,ENSG00000237515,0.09643715,0.12342875
HAC55,ENSG00000109684,0.37338904,0.13553743
HAC55,ENSG00000149654,0.13553743,0.13553743
HAC55,ENSG00000156395,0.063158184,0.13553743
HAC56,ENSG00000147246,0.17664067,0.14447446
HAC56,ENSG00000135324,0.14447446,0.14447446
HAC56,ENSG00000198673,0.11118474,0.14447446
HAC57,ENSG00000006128,0.28517097,0.16904007
HAC57,ENSG00000102780,0.052909162,0.16904007
HAC59,ENSG00000218819,1.0,0.61527884
HAC59,ENSG00000152953,0.2305577,0.61527884
HAC60,ENSG00000133107,0.4984521,0.1157174
HAC60,ENSG00000053747,0.1157174,0.1157174
HAC60,ENSG00000140945,0.087352276,0.1157174
HAC62,ENSG00000164270,0.363279,0.11666016
HAC62,ENSG00000165973,0.11239362,0.11666016
HAC62,ENSG00000136237,0.11666016,0.11666016
HAC63,ENSG00000077522,0.23854195,0.040616784
HAC63,ENSG00000166342,0.017572103,0.040616784
HAC63,ENSG00000118733,0.040616784,0.040616784
HAC64,ENSG00000171502,0.33191347,0.19380575
HAC64,ENSG00000173068,0.19380575,0.19380575
HAC64,ENSG00000237515,0.13002023,0.19380575
HAC65,ENSG00000169439,0.49862882,0.17969632
HAC65,ENSG00000128573,0.156748,0.17969632
HAC65,ENSG00000113361,0.17969632,0.17969632
HAC66,ENSG00000122585,0.2754226,0.035320874
HAC66,ENSG00000132915,0.035320874,0.035320874
HAC66,ENSG00000047617,0.01057267,0.035320874
HAC68,ENSG00000154146,0.42708424,0.074036896
HAC68,ENSG00000132915,0.049473125,0.074036896
HAC68,ENSG00000162599,0.074036896,0.074036896
HAC71,ENSG00000146674,0.30569035,0.23688674
HAC71,ENSG00000134853,0.23688674,0.23688674
HAC71,ENSG00000166342,0.029979484,0.23688674
HAC72,ENSG00000156510,0.30444154,0.18097404
HAC72,ENSG00000091513,0.3039367,0.18097404
HAC72,ENSG00000173175,0.05801139,0.18097404
HAC72,ENSG00000011677,0.041885816,0.18097404
HAC74,ENSG00000182463,0.06796301,0.04053333
HAC74,ENSG00000080200,0.03253622,0.04053333
HAC74,ENSG00000151952,0.04853044,0.04053333
HAC74,ENSG00000155307,0.031636845,0.04053333
HAC75,ENSG00000178573,0.16436231,0.021769991
HAC75,ENSG00000155307,0.011016072,0.021769991
HAC75,ENSG00000127328,0.007932766,0.021769991
HAC75,ENSG00000169851,0.03252391,0.021769991
HAC77,ENSG00000003989,0.23397379,0.100474924
HAC77,ENSG00000112319,0.1853975,0.100474924
HAC77,ENSG00000155307,0.014910467,0.100474924
HAC77,ENSG00000165588,0.015552345,0.100474924
HAC78,ENSG00000138829,1.0,0.6098342
HAC78,ENSG00000049192,0.6098342,0.6098342
HAC78,ENSG00000165966,0.102351055,0.6098342
HAC79,ENSG00000133454,0.3008216,0.2521104
HAC79,ENSG00000134853,0.2521104,0.2521104
HAC79,ENSG00000146648,0.10610625,0.2521104
HAC80,ENSG00000198914,0.3559052,0.18155213
HAC80,ENSG00000164120,0.26002854,0.18155213
HAC80,ENSG00000138604,0.10307572,0.18155213
HAC80,ENSG00000147862,0.02441628,0.18155213
HAC81,ENSG00000149554,0.43056366,0.117959395
HAC81,ENSG00000170962,0.3336437,0.117959395
HAC81,ENSG00000160111,0.117959395,0.117959395
HAC81,ENSG00000117154,0.023060616,0.117959395
HAC81,ENSG00000166342,0.027039297,0.117959395
HAC82,ENSG00000189108,0.1793352,0.06826281
HAC82,ENSG00000160111,0.063263744,0.06826281
HAC82,ENSG00000132915,0.069482364,0.06826281
HAC82,ENSG00000070729,0.06704325,0.06826281
HAC84,ENSG00000146376,0.17297012,0.10559458
HAC84,ENSG00000108001,0.10559458,0.10559458
HAC84,ENSG00000132915,0.07105289,0.10559458
HAC86,ENSG00000145555,0.15548588,0.07340274
HAC86,ENSG00000112419,0.084670626,0.07340274
HAC86,ENSG00000154080,0.069156304,0.07340274
HAC86,ENSG00000163377,0.07340274,0.07340274
HAC86,ENSG00000132915,0.07090223,0.07340274
HAC87,ENSG00000122870,0.11474327,0.048387595
HAC87,ENSG00000134160,0.012581515,0.048387595
HAC87,ENSG00000089169,0.06668802,0.048387595
HAC87,ENSG00000166342,0.030087162,0.048387595
HAC88,ENSG00000119547,0.13983923,0.07311772
HAC88,ENSG00000157890,0.07311772,0.07311772
HAC88,ENSG00000237515,0.06957288,0.07311772
HAC89,ENSG00000049323,0.15622102,0.121408276
HAC89,ENSG00000118946,0.13616474,0.121408276
HAC89,ENSG00000116183,0.08483233,0.121408276
HAC89,ENSG00000154080,0.121408276,0.121408276
HAC89,ENSG00000118557,0.09304656,0.121408276
HAC90,ENSG00000154027,0.094315484,0.08607334
HAC90,ENSG00000182463,0.087305546,0.08607334
HAC90,ENSG00000144227,0.0749111,0.08607334
HAC90,ENSG00000132915,0.08484113,0.08607334
HAC91,ENSG00000146376,0.12923199,0.07408177
HAC91,ENSG00000108001,0.10694146,0.07408177
HAC91,ENSG00000182463,0.07408177,0.07408177
HAC91,ENSG00000144227,0.048397426,0.07408177
HAC91,ENSG00000154027,0.06319895,0.07408177
HAC92,ENSG00000198914,0.6440948,0.3495577
HAC92,ENSG00000132821,0.5160689,0.3495577
HAC92,ENSG00000133107,0.3043487,0.3495577
HAC92,ENSG00000164120,0.3495577,0.3495577
HAC92,ENSG00000118257,0.088263325,0.3495577
HAC93,ENSG00000128918,0.2517199,0.16316164
HAC93,ENSG00000165973,0.16316164,0.16316164
HAC93,ENSG00000132915,0.0855175,0.16316164
HAC95,ENSG00000165105,0.39383894,0.20445791
HAC95,ENSG00000139292,0.32728896,0.20445791
HAC95,ENSG00000160111,0.06688241,0.20445791
HAC95,ENSG00000144227,0.08162686,0.20445791
HRGC3,ENSG00000162772,1.0,0.8010979
HRGC3,ENSG00000136383,0.8010979,0.8010979
HRGC3,ENSG00000146592,0.5748976,0.8010979
HRGC4,ENSG00000142185,0.17024261,0.12687817
HRGC4,ENSG00000131016,0.08351373,0.12687817
HRGC5,ENSG00000173267,0.27759254,0.20218582
HRGC5,ENSG00000169432,0.12677911,0.20218582
HRGC9,ENSG00000183960,0.39004168,0.08652425
HRGC9,ENSG00000146376,0.108659625,0.08652425
HRGC9,ENSG00000104490,0.06438888,0.08652425
HRGC9,ENSG00000182732,0.055313658,0.08652425
