software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,AII,7454,0.7812118250671879,0.89733395696913,0.5147571773544406,501148,439,3617,3837,2,"['ENSG00000113504', 'ENSG00000165899']","['ENSG00000159251', 'ENSG00000113504', 'ENSG00000138604', 'ENSG00000172403', 'ENSG00000165899', 'ENSG00000128536', 'ENSG00000101463', 'ENSG00000134215', 'ENSG00000038295', 'ENSG00000162599']",0.26062223
4.1,author_cell_type,AII*,1057,0.6173101400084854,0.8953846153846153,0.2753074739829707,507950,34,766,291,4,"['ENSG00000113504', 'ENSG00000188107', 'ENSG00000042781', 'ENSG00000162946']","['ENSG00000113504', 'ENSG00000132915', 'ENSG00000130561', 'ENSG00000188107', 'ENSG00000042781', 'ENSG00000162946', 'ENSG00000198691', 'ENSG00000261873', 'ENSG00000165588', 'ENSG00000154240']",0.025316905
4.1,author_cell_type,Astrocyte,7454,0.8693894055802669,0.9956008335262793,0.5768714784008586,501568,19,3154,4300,2,"['ENSG00000196092', 'ENSG00000075891']","['ENSG00000196092', 'ENSG00000075891', 'ENSG00000041982', 'ENSG00000058866', 'ENSG00000018625', 'ENSG00000136732', 'ENSG00000131095', 'ENSG00000013297', 'ENSG00000125618', 'ENSG00000092758']",1.0
4.1,author_cell_type,BB,2931,0.6406949911768698,0.8512173128944995,0.32207437734561584,505945,165,1987,944,3,"['ENSG00000215474', 'ENSG00000147257', 'ENSG00000113262']","['ENSG00000215474', 'ENSG00000147257', 'ENSG00000151012', 'ENSG00000186007', 'ENSG00000070159', 'ENSG00000113262', 'ENSG00000183662', 'ENSG00000134160', 'ENSG00000156395', 'ENSG00000170624']",1.0
4.1,author_cell_type,CAI,450,0.7565217391304347,0.9942857142857143,0.38666666666666666,508590,1,276,174,3,"['ENSG00000070193', 'ENSG00000180176', 'ENSG00000106018']","['ENSG00000070193', 'ENSG00000158816', 'ENSG00000131979', 'ENSG00000180176', 'ENSG00000123243', 'ENSG00000106018', 'ENSG00000188641', 'ENSG00000165646', 'ENSG00000171094', 'ENSG00000164326']",0.61633426
4.1,author_cell_type,CAII,3865,0.8628097905317271,0.981239092495637,0.581888745148771,505133,43,1616,2249,2,"['ENSG00000104313', 'ENSG00000075223']","['ENSG00000124749', 'ENSG00000104313', 'ENSG00000172995', 'ENSG00000075223', 'ENSG00000006128', 'ENSG00000087116', 'ENSG00000107099', 'ENSG00000173157', 'ENSG00000179399', 'ENSG00000120907']",0.49662465
4.1,author_cell_type,DB1,7454,0.734789627686409,0.9421086675291074,0.3907968875771398,501408,179,4541,2913,2,"['ENSG00000169836', 'ENSG00000053747']","['ENSG00000157404', 'ENSG00000169836', 'ENSG00000065320', 'ENSG00000175344', 'ENSG00000053747', 'ENSG00000144227', 'ENSG00000166342', 'ENSG00000134160', 'ENSG00000162631', 'ENSG00000171189']",0.24758683
4.1,author_cell_type,DB2,7454,0.8459047306714766,0.9744982290436836,0.5536624631070566,501479,108,3327,4127,2,"['ENSG00000163377', 'ENSG00000147862']","['ENSG00000130635', 'ENSG00000139517', 'ENSG00000163377', 'ENSG00000147862', 'ENSG00000171189', 'ENSG00000182348', 'ENSG00000162946', 'ENSG00000136267', 'ENSG00000042813', 'ENSG00000102900']",0.11147166
4.1,author_cell_type,DB3a,7454,0.8783131635607692,0.9714637651406282,0.6348269385564798,501448,139,2722,4732,2,"['ENSG00000170381', 'ENSG00000171189']","['ENSG00000170381', 'ENSG00000165966', 'ENSG00000044524', 'ENSG00000136267', 'ENSG00000169891', 'ENSG00000171189', 'ENSG00000178568', 'ENSG00000184611', 'ENSG00000162631', 'ENSG00000182674']",0.10077453
4.1,author_cell_type,DB3b,7454,0.7702947845804988,0.9309399835571389,0.4557284679366783,501335,252,4057,3397,3,"['ENSG00000110693', 'ENSG00000105507', 'ENSG00000162946']","['ENSG00000129167', 'ENSG00000165084', 'ENSG00000085563', 'ENSG00000110693', 'ENSG00000105507', 'ENSG00000162946', 'ENSG00000171189', 'ENSG00000162599', 'ENSG00000101542', 'ENSG00000042813']",0.124018505
4.1,author_cell_type,DB4a,7454,0.8172823715296065,0.9086156419907988,0.5829085055004025,501150,437,3109,4345,2,"['ENSG00000110693', 'ENSG00000113262']","['ENSG00000118271', 'ENSG00000188916', 'ENSG00000110693', 'ENSG00000182601', 'ENSG00000113262', 'ENSG00000134160', 'ENSG00000182348', 'ENSG00000147862', 'ENSG00000117114', 'ENSG00000162599']",0.18346502
4.1,author_cell_type,DB4b,4553,0.6536758624045151,0.67175,0.5901603338458159,503175,1313,1866,2687,3,"['ENSG00000186314', 'ENSG00000166342', 'ENSG00000162599']","['ENSG00000196569', 'ENSG00000104361', 'ENSG00000186314', 'ENSG00000166342', 'ENSG00000162599', 'ENSG00000182348', 'ENSG00000198929', 'ENSG00000149571', 'ENSG00000182674', 'ENSG00000169851']",0.08308474
4.1,author_cell_type,DB5,7454,0.8533509488349748,0.9730655101574983,0.5719077005634559,501469,118,3191,4263,2,"['ENSG00000082293', 'ENSG00000186314']","['ENSG00000082293', 'ENSG00000041515', 'ENSG00000186314', 'ENSG00000080200', 'ENSG00000197584', 'ENSG00000147862', 'ENSG00000136267', 'ENSG00000249853', 'ENSG00000154229', 'ENSG00000184005']",0.5613894
4.1,author_cell_type,DB6,7454,0.6435765168263325,0.7409851520150836,0.421786960021465,500488,1099,4310,3144,1,['ENSG00000197826'],"['ENSG00000197826', 'ENSG00000138646', 'ENSG00000198075', 'ENSG00000154274', 'ENSG00000165025', 'ENSG00000155792', 'ENSG00000141404', 'ENSG00000113262', 'ENSG00000134160', 'ENSG00000150394']",1.0
4.1,author_cell_type,FMB,7454,0.7892969099865652,0.9478354396343103,0.4729004561309364,501393,194,3929,3525,2,"['ENSG00000169836', 'ENSG00000163377']","['ENSG00000163492', 'ENSG00000169836', 'ENSG00000163491', 'ENSG00000185942', 'ENSG00000163377', 'ENSG00000136267', 'ENSG00000166342', 'ENSG00000171189', 'ENSG00000120549', 'ENSG00000033867']",0.19750278
4.1,author_cell_type,GB,7454,0.795668549905838,0.9560883620689655,0.4761202039173598,501424,163,3905,3549,2,"['ENSG00000182601', 'ENSG00000197442']","['ENSG00000273540', 'ENSG00000172071', 'ENSG00000182601', 'ENSG00000168824', 'ENSG00000197442', 'ENSG00000111962', 'ENSG00000134160', 'ENSG00000171444', 'ENSG00000120549', 'ENSG00000152818']",0.24776766
4.1,author_cell_type,H1,7454,0.8678033488798838,0.9709153122326775,0.6090689562650926,501451,136,2914,4540,2,"['ENSG00000157890', 'ENSG00000205922']","['ENSG00000164309', 'ENSG00000273706', 'ENSG00000140470', 'ENSG00000157890', 'ENSG00000205922', 'ENSG00000112902', 'ENSG00000140479', 'ENSG00000169856', 'ENSG00000145555', 'ENSG00000116147']",0.52101755
4.1,author_cell_type,H2,7454,0.7251091163633369,0.8369771863117871,0.4724979876576335,500901,686,3932,3522,2,"['ENSG00000136842', 'ENSG00000153976']","['ENSG00000136842', 'ENSG00000153976', 'ENSG00000135355', 'ENSG00000140479', 'ENSG00000169856', 'ENSG00000143549', 'ENSG00000104327', 'ENSG00000099715', 'ENSG00000172554', 'ENSG00000082269']",0.79973143
4.1,author_cell_type,HAC2,7454,0.6699732926363984,0.7489869908296012,0.47115642607995706,500410,1177,3942,3512,2,"['ENSG00000182463', 'ENSG00000151952']","['ENSG00000101974', 'ENSG00000154027', 'ENSG00000182463', 'ENSG00000125869', 'ENSG00000144227', 'ENSG00000151952', 'ENSG00000181072', 'ENSG00000162631', 'ENSG00000157152', 'ENSG00000160145']",0.09225696
