software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,author_cell_type,AII,7454,0.5859065716547902,0.8103245991396167,0.2779715588945533,501102,485,5382,2072,2,"['ENSG00000173175', 'ENSG00000112964']","['ENSG00000141753', 'ENSG00000135750', 'ENSG00000173175', 'ENSG00000112964', 'ENSG00000136111', 'ENSG00000177990', 'ENSG00000117643', 'ENSG00000050748', 'ENSG00000115896', 'ENSG00000101349']",0.17514895,fold_1
4.1,author_cell_type,AII*,1057,0.13086208738382651,0.11801541425818883,0.23178807947019867,506153,1831,812,245,5,"['ENSG00000141753', 'ENSG00000135750', 'ENSG00000112964', 'ENSG00000136111', 'ENSG00000177990']","['ENSG00000141753', 'ENSG00000135750', 'ENSG00000173175', 'ENSG00000112964', 'ENSG00000136111', 'ENSG00000177990', 'ENSG00000188107', 'ENSG00000198691', 'ENSG00000147488', 'ENSG00000115896']",0.07983094,fold_1
4.1,author_cell_type,Astrocyte,7454,0.8682737169517885,0.9042759961127308,0.7489938288167427,500996,591,1871,5583,1,['ENSG00000196092'],"['ENSG00000196092', 'ENSG00000041982', 'ENSG00000125618', 'ENSG00000103260', 'ENSG00000048540', 'ENSG00000196569', 'ENSG00000047365', 'ENSG00000144677', 'ENSG00000134121', 'ENSG00000163110']",1.0,fold_1
4.1,author_cell_type,BB,2931,0.6006968641114983,0.8124410933081998,0.2940975776185602,505911,199,2069,862,2,"['ENSG00000183662', 'ENSG00000080200']","['ENSG00000183662', 'ENSG00000152784', 'ENSG00000162706', 'ENSG00000080200', 'ENSG00000064933', 'ENSG00000122786', 'ENSG00000171055', 'ENSG00000125944', 'ENSG00000266028', 'ENSG00000171385']",0.08671316,fold_1
4.1,author_cell_type,CAI,450,0.4892367906066536,0.6993006993006993,0.2222222222222222,508548,43,350,100,3,"['ENSG00000131979', 'ENSG00000145248', 'ENSG00000165434']","['ENSG00000131979', 'ENSG00000145248', 'ENSG00000185551', 'ENSG00000172380', 'ENSG00000172020', 'ENSG00000165434', 'ENSG00000164326', 'ENSG00000074966', 'ENSG00000070808', 'ENSG00000134121']",1.0,fold_1
4.1,author_cell_type,CAII,3865,0.76347727914197,0.9597871082199881,0.4199223803363519,505108,68,2242,1623,3,"['ENSG00000185551', 'ENSG00000173157', 'ENSG00000111218']","['ENSG00000171126', 'ENSG00000185551', 'ENSG00000173157', 'ENSG00000172380', 'ENSG00000111218', 'ENSG00000074966', 'ENSG00000120907', 'ENSG00000179981', 'ENSG00000183662', 'ENSG00000099715']",0.28440213,fold_1
4.1,author_cell_type,DB1,7454,0.5922103452512594,0.8739800543970988,0.25865307217601285,501309,278,5526,1928,3,"['ENSG00000080200', 'ENSG00000162631', 'ENSG00000044524']","['ENSG00000065882', 'ENSG00000080200', 'ENSG00000150394', 'ENSG00000162631', 'ENSG00000044524', 'ENSG00000171385', 'ENSG00000151693', 'ENSG00000151322', 'ENSG00000185518', 'ENSG00000076554']",0.073510274,fold_1
4.1,author_cell_type,DB2,7454,0.4687359626268979,0.5637493246893571,0.27998390126106787,499972,1615,5367,2087,3,"['ENSG00000080200', 'ENSG00000119900', 'ENSG00000147488']","['ENSG00000166569', 'ENSG00000080200', 'ENSG00000119900', 'ENSG00000162706', 'ENSG00000147488', 'ENSG00000105507', 'ENSG00000076554', 'ENSG00000266028', 'ENSG00000143924', 'ENSG00000171385']",0.08412489,fold_1
4.1,author_cell_type,DB3a,7454,0.6469139994906189,0.7570789865871833,0.4089079688757714,500609,978,4406,3048,2,"['ENSG00000087245', 'ENSG00000044524']","['ENSG00000087245', 'ENSG00000017427', 'ENSG00000105507', 'ENSG00000044524', 'ENSG00000179981', 'ENSG00000173757', 'ENSG00000162706', 'ENSG00000175470', 'ENSG00000162631', 'ENSG00000129595']",0.33237723,fold_1
4.1,author_cell_type,DB3b,7454,0.5712369783544383,0.5954161248374512,0.49141400590287093,499098,2489,3791,3663,3,"['ENSG00000105507', 'ENSG00000080200', 'ENSG00000198691']","['ENSG00000166569', 'ENSG00000105507', 'ENSG00000121957', 'ENSG00000080200', 'ENSG00000044524', 'ENSG00000198691', 'ENSG00000147488', 'ENSG00000119900', 'ENSG00000076554', 'ENSG00000162706']",0.071784735,fold_1
