,0
Astro_1,221
Astro_2,217
Astro_3,231
EX_1,1072
EX_10,275
EX_11,372
EX_12,456
EX_13,1141
EX_2,935
EX_3,286
EX_4,921
EX_5,1424
EX_6,1069
EX_7,1476
EX_8,454
EX_9,282
Endothelial_1,206
Ependymal_1,323
INH_1,524
INH_2,1455
INH_3,1140
INH_4,661
INH_5,664
INH_6,716
INH_7,1148
Lymphocyte_1,175
MN_1,226
Macro_1,212
Meninges_1,300
Meninges_2,103
Micro_1,262
Micro_2,243
Micro_3,256
Micro_4,135
Micro_5,216
Micro_6,322
OligoProg_1,213
Oligo_1,677
Oligo_2,297
Oligo_3,239
Oligo_4,310
Opc_1,188
Pericyte_1,110
