clusterName,markerGene,score
Astro_1,ENSG00000160111,0.827469615279174
Astro_1,ENSG00000287704,0.827469615279174
Astro_2,ENSG00000132164,0.7103582830791061
Astro_2,ENSG00000234377,0.7103582830791061
Astro_3,ENSG00000129521,0.5586749017405952
Astro_3,ENSG00000172572,0.5586749017405952
EX_1,ENSG00000164142,0.24193548387096775
EX_1,ENSG00000102468,0.24193548387096775
EX_1,ENSG00000235537,0.24193548387096775
EX_1,ENSG00000132911,0.24193548387096775
EX_1,ENSG00000189056,0.24193548387096775
EX_2,ENSG00000268089,0.7964601769911505
EX_2,ENSG00000174417,0.7964601769911505
EX_2,ENSG00000164483,0.7964601769911505
EX_3,ENSG00000091490,0.8125
EX_3,ENSG00000250039,0.8125
EX_4,ENSG00000175344,0.8194774346793349
EX_4,ENSG00000138741,0.8194774346793349
EX_5,ENSG00000109255,0.7683215130023641
EX_5,ENSG00000047617,0.7683215130023641
EX_6,ENSG00000147655,0.8333333333333334
EX_6,ENSG00000262655,0.8333333333333334
EX_6,ENSG00000183662,0.8333333333333334
EX_7,ENSG00000054938,0.8582089552238806
EX_7,ENSG00000215218,0.8582089552238806
EX_7,ENSG00000102362,0.8582089552238806
EX_8,ENSG00000282890,0.7848101265822784
EX_8,ENSG00000128655,0.7848101265822784
EX_9,ENSG00000228526,0.5035971223021583
EX_9,ENSG00000256654,0.5035971223021583
EX_9,ENSG00000107105,0.5035971223021583
EX_10,ENSG00000128578,0.19480519480519481
EX_10,ENSG00000221818,0.19480519480519481
EX_10,ENSG00000158352,0.19480519480519481
EX_11,ENSG00000228824,0.6598984771573604
EX_11,ENSG00000235537,0.6598984771573604
EX_11,ENSG00000249937,0.6598984771573604
EX_12,ENSG00000163032,0.7363013698630136
EX_12,ENSG00000163630,0.7363013698630136
EX_13,ENSG00000144229,0.7407407407407407
EX_13,ENSG00000182348,0.7407407407407407
Endothelial_1,ENSG00000110799,0.859504132231405
Endothelial_1,ENSG00000102755,0.859504132231405
Ependymal_1,ENSG00000155761,0.8705357142857143
Ependymal_1,ENSG00000154099,0.8705357142857143
INH_1,ENSG00000144227,0.8394160583941606
INH_1,ENSG00000158258,0.8394160583941606
INH_1,ENSG00000077943,0.8394160583941606
INH_2,ENSG00000183625,0.8173076923076923
INH_2,ENSG00000157404,0.8173076923076923
INH_3,ENSG00000127863,0.7967032967032966
INH_3,ENSG00000117069,0.7967032967032966
INH_3,ENSG00000256463,0.7967032967032966
INH_4,ENSG00000138795,0.7692307692307693
INH_4,ENSG00000196549,0.7692307692307693
INH_5,ENSG00000164484,0.717948717948718
INH_5,ENSG00000122585,0.717948717948718
INH_5,ENSG00000165970,0.717948717948718
INH_6,ENSG00000101327,0.7228915662650602
INH_6,ENSG00000136099,0.7228915662650602
INH_7,ENSG00000196092,0.7878787878787878
INH_7,ENSG00000185551,0.7878787878787878
INH_7,ENSG00000158258,0.7878787878787878
Lymphocyte_1,ENSG00000205045,0.8382642998027613
Lymphocyte_1,ENSG00000172673,0.8382642998027613
MN_1,ENSG00000137267,0.8666666666666667
MN_1,ENSG00000277586,0.8666666666666667
Macro_1,ENSG00000260314,0.8169291338582677
Macro_1,ENSG00000124491,0.8169291338582677
Meninges_1,ENSG00000144644,0.8090614886731392
Meninges_1,ENSG00000126778,0.8090614886731392
Meninges_2,ENSG00000103888,0.711892797319933
Micro_1,ENSG00000095585,0.5619158878504673
Micro_1,ENSG00000176124,0.5619158878504673
Micro_1,ENSG00000059377,0.5619158878504673
Micro_2,ENSG00000286618,0.48128342245989303
Micro_2,ENSG00000231131,0.48128342245989303
Micro_3,ENSG00000136235,0.48295454545454547
Micro_3,ENSG00000145703,0.48295454545454547
Micro_4,ENSG00000145685,0.13386978785662035
Micro_4,ENSG00000077420,0.13386978785662035
Micro_5,ENSG00000051108,0.39402173913043476
Micro_5,ENSG00000120063,0.39402173913043476
Micro_6,ENSG00000008988,0.3472222222222222
Micro_6,ENSG00000177600,0.3472222222222222
Micro_6,ENSG00000173369,0.3472222222222222
OligoProg_1,ENSG00000253807,0.33505154639175255
OligoProg_1,ENSG00000227036,0.33505154639175255
Oligo_1,ENSG00000286438,0.6980663473478801
Oligo_2,ENSG00000156049,0.4207838082963387
Oligo_2,ENSG00000158865,0.4207838082963387
Oligo_2,ENSG00000249484,0.4207838082963387
Oligo_3,ENSG00000253877,0.7150614602359678
Oligo_4,ENSG00000164161,0.27263240281763634
Oligo_4,ENSG00000135643,0.27263240281763634
Oligo_4,ENSG00000227088,0.27263240281763634
Oligo_4,ENSG00000105894,0.27263240281763634
Oligo_4,ENSG00000259070,0.27263240281763634
Opc_1,ENSG00000157890,0.9228316326530612
Opc_1,ENSG00000134853,0.9228316326530612
Pericyte_1,ENSG00000187498,0.5533596837944664
Pericyte_1,ENSG00000134871,0.5533596837944664
