clusterName,onTarget
Astro_1,0.51817024
Astro_2,0.42911786
Astro_3,0.29496682
EX_1,0.35456675
EX_2,1.0
EX_3,0.8812926
EX_4,0.64115244
EX_5,0.6254535
EX_6,0.24589638
EX_7,0.81634575
EX_8,0.25245222
EX_9,0.30630305
EX_10,0.12895454
EX_11,0.3346956
EX_12,0.15728065
EX_13,0.4593621
Endothelial_1,1.0
Ependymal_1,1.0
INH_1,0.3717807
INH_2,0.78874147
INH_3,0.41256255
INH_4,0.3898758
INH_5,0.56836766
INH_6,0.8207958
INH_7,0.4747102
Lymphocyte_1,1.0
MN_1,0.5750316
Macro_1,1.0
Meninges_1,1.0
Meninges_2,0.5155806
Micro_1,0.16382407
Micro_2,0.5952022
Micro_3,0.6008362
Micro_4,0.15072513
Micro_5,0.40918016
Micro_6,0.30812472
OligoProg_1,0.23944263
Oligo_1,1.0
Oligo_2,0.26837188
Oligo_3,0.5469857
Oligo_4,0.21761873
Opc_1,1.0
Pericyte_1,0.7007654
