clusterName,markerGene,onTarget_per_gene,onTarget
Astro_1,ENSG00000160111,0.67552197,0.51817024
Astro_1,ENSG00000287704,0.3608185,0.51817024
Astro_2,ENSG00000132164,0.52298015,0.42911786
Astro_2,ENSG00000234377,0.33525553,0.42911786
Astro_3,ENSG00000129521,0.4071581,0.29496682
Astro_3,ENSG00000172572,0.18277553,0.29496682
EX_1,ENSG00000164142,0.72533506,0.35456675
EX_1,ENSG00000102468,0.47627148,0.35456675
EX_1,ENSG00000235537,0.35456675,0.35456675
EX_1,ENSG00000132911,0.34654185,0.35456675
EX_1,ENSG00000189056,0.20141876,0.35456675
EX_2,ENSG00000268089,1.0,1.0
EX_2,ENSG00000174417,1.0,1.0
EX_2,ENSG00000164483,0.18624671,1.0
EX_3,ENSG00000091490,1.0,0.8812926
EX_3,ENSG00000250039,0.7625851,0.8812926
EX_4,ENSG00000175344,0.8037322,0.64115244
EX_4,ENSG00000138741,0.4785727,0.64115244
EX_5,ENSG00000109255,1.0,0.6254535
EX_5,ENSG00000047617,0.250907,0.6254535
EX_6,ENSG00000147655,0.56591123,0.24589638
EX_6,ENSG00000262655,0.24589638,0.24589638
EX_6,ENSG00000183662,0.22629984,0.24589638
EX_7,ENSG00000054938,1.0,0.81634575
EX_7,ENSG00000215218,0.81634575,0.81634575
EX_7,ENSG00000102362,0.27256435,0.81634575
EX_8,ENSG00000282890,0.34026557,0.25245222
EX_8,ENSG00000128655,0.16463888,0.25245222
EX_9,ENSG00000228526,0.4024101,0.30630305
EX_9,ENSG00000256654,0.30630305,0.30630305
EX_9,ENSG00000107105,0.20014384,0.30630305
EX_10,ENSG00000128578,0.1497883,0.12895454
EX_10,ENSG00000221818,0.12895454,0.12895454
EX_10,ENSG00000158352,0.08263161,0.12895454
EX_11,ENSG00000228824,0.3803973,0.3346956
EX_11,ENSG00000235537,0.3346956,0.3346956
EX_11,ENSG00000249937,0.24334762,0.3346956
EX_12,ENSG00000163032,0.17568767,0.15728065
EX_12,ENSG00000163630,0.13887364,0.15728065
EX_13,ENSG00000144229,0.55073875,0.4593621
EX_13,ENSG00000182348,0.3679854,0.4593621
Endothelial_1,ENSG00000110799,1.0,1.0
Endothelial_1,ENSG00000102755,1.0,1.0
Ependymal_1,ENSG00000155761,1.0,1.0
Ependymal_1,ENSG00000154099,1.0,1.0
INH_1,ENSG00000144227,0.40720046,0.3717807
INH_1,ENSG00000158258,0.3717807,0.3717807
INH_1,ENSG00000077943,0.32463697,0.3717807
INH_2,ENSG00000183625,1.0,0.78874147
INH_2,ENSG00000157404,0.5774829,0.78874147
INH_3,ENSG00000127863,0.56187594,0.41256255
INH_3,ENSG00000117069,0.41256255,0.41256255
INH_3,ENSG00000256463,0.3504486,0.41256255
INH_4,ENSG00000138795,0.3630945,0.3898758
INH_4,ENSG00000196549,0.4166571,0.3898758
INH_5,ENSG00000164484,0.6833201,0.56836766
INH_5,ENSG00000122585,0.56836766,0.56836766
INH_5,ENSG00000165970,0.511803,0.56836766
INH_6,ENSG00000101327,1.0,0.8207958
INH_6,ENSG00000136099,0.6415916,0.8207958
INH_7,ENSG00000196092,1.0,0.4747102
INH_7,ENSG00000185551,0.4747102,0.4747102
INH_7,ENSG00000158258,0.28679827,0.4747102
Lymphocyte_1,ENSG00000205045,1.0,1.0
Lymphocyte_1,ENSG00000172673,1.0,1.0
MN_1,ENSG00000137267,0.6571502,0.5750316
MN_1,ENSG00000277586,0.49291295,0.5750316
Macro_1,ENSG00000260314,1.0,1.0
Macro_1,ENSG00000124491,1.0,1.0
Meninges_1,ENSG00000144644,1.0,1.0
Meninges_1,ENSG00000126778,1.0,1.0
Meninges_2,ENSG00000103888,0.5155806,0.5155806
Micro_1,ENSG00000095585,0.21111415,0.16382407
Micro_1,ENSG00000176124,0.16382407,0.16382407
Micro_1,ENSG00000059377,0.16008864,0.16382407
Micro_2,ENSG00000286618,1.0,0.5952022
Micro_2,ENSG00000231131,0.19040447,0.5952022
Micro_3,ENSG00000136235,1.0,0.6008362
Micro_3,ENSG00000145703,0.20167248,0.6008362
Micro_4,ENSG00000145685,0.16494142,0.15072513
Micro_4,ENSG00000077420,0.13650882,0.15072513
Micro_5,ENSG00000051108,0.5461618,0.40918016
Micro_5,ENSG00000120063,0.27219856,0.40918016
Micro_6,ENSG00000008988,1.0,0.30812472
Micro_6,ENSG00000177600,0.30812472,0.30812472
Micro_6,ENSG00000173369,0.26286355,0.30812472
OligoProg_1,ENSG00000253807,0.24797925,0.23944263
OligoProg_1,ENSG00000227036,0.23090601,0.23944263
Oligo_1,ENSG00000286438,1.0,1.0
Oligo_2,ENSG00000156049,0.3001216,0.26837188
Oligo_2,ENSG00000158865,0.26837188,0.26837188
Oligo_2,ENSG00000249484,0.25630397,0.26837188
Oligo_3,ENSG00000253877,0.5469857,0.5469857
Oligo_4,ENSG00000164161,0.23277123,0.21761873
Oligo_4,ENSG00000135643,0.22653586,0.21761873
Oligo_4,ENSG00000227088,0.21761873,0.21761873
Oligo_4,ENSG00000105894,0.14531933,0.21761873
Oligo_4,ENSG00000259070,0.195766,0.21761873
Opc_1,ENSG00000157890,1.0,1.0
Opc_1,ENSG00000134853,1.0,1.0
Pericyte_1,ENSG00000187498,0.84838194,0.7007654
Pericyte_1,ENSG00000134871,0.55314887,0.7007654
