software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,ThirdAnnotation,Astro_1,2459,0.827469615279174,0.8538425271098539,0.7364782431882879,25856,310,648,1811,2,"['ENSG00000160111', 'ENSG00000287704']","['ENSG00000280809', 'ENSG00000152137', 'ENSG00000160111', 'ENSG00000038427', 'ENSG00000287704', 'ENSG00000135063', 'ENSG00000026508', 'ENSG00000111783', 'ENSG00000131095', 'ENSG00000174776']",0.51817024
4.1,ThirdAnnotation,Astro_2,1442,0.7103582830791061,0.763584366062917,0.5554785020804438,26935,248,641,801,2,"['ENSG00000132164', 'ENSG00000234377']","['ENSG00000133067', 'ENSG00000132164', 'ENSG00000116285', 'ENSG00000129521', 'ENSG00000141469', 'ENSG00000234377', 'ENSG00000134508', 'ENSG00000172987', 'ENSG00000182732', 'ENSG00000198838']",0.42911786
4.1,ThirdAnnotation,Astro_3,529,0.5586749017405952,0.6357827476038339,0.3761814744801512,27982,114,330,199,2,"['ENSG00000129521', 'ENSG00000172572']","['ENSG00000164089', 'ENSG00000116285', 'ENSG00000129521', 'ENSG00000287862', 'ENSG00000151208', 'ENSG00000172572', 'ENSG00000152583', 'ENSG00000112541', 'ENSG00000168710', 'ENSG00000152977']",0.29496682
4.1,ThirdAnnotation,EX_1,18,0.24193548387096775,0.2727272727272727,0.16666666666666666,28599,8,15,3,5,"['ENSG00000164142', 'ENSG00000102468', 'ENSG00000235537', 'ENSG00000132911', 'ENSG00000189056']","['ENSG00000164142', 'ENSG00000102468', 'ENSG00000235537', 'ENSG00000132911', 'ENSG00000189056', 'ENSG00000134343', 'ENSG00000150361', 'ENSG00000164128', 'ENSG00000128655', 'ENSG00000174607']",0.35456675
4.1,ThirdAnnotation,EX_2,78,0.7964601769911505,0.972972972972973,0.46153846153846156,28546,1,42,36,3,"['ENSG00000268089', 'ENSG00000174417', 'ENSG00000164483']","['ENSG00000268089', 'ENSG00000225249', 'ENSG00000174417', 'ENSG00000236333', 'ENSG00000151892', 'ENSG00000164483', 'ENSG00000116544', 'ENSG00000128655', 'ENSG00000164946', 'ENSG00000132872']",1.0
4.1,ThirdAnnotation,EX_3,76,0.8125,0.8524590163934426,0.6842105263157895,28540,9,24,52,2,"['ENSG00000091490', 'ENSG00000250039']","['ENSG00000102924', 'ENSG00000091490', 'ENSG00000279249', 'ENSG00000250039', 'ENSG00000172164', 'ENSG00000285778', 'ENSG00000232046', 'ENSG00000164483', 'ENSG00000164128', 'ENSG00000104327']",0.8812926
4.1,ThirdAnnotation,EX_4,141,0.8194774346793349,0.9857142857142858,0.48936170212765956,28483,1,72,69,2,"['ENSG00000175344', 'ENSG00000138741']","['ENSG00000259199', 'ENSG00000082556', 'ENSG00000175344', 'ENSG00000006128', 'ENSG00000138741', 'ENSG00000171246', 'ENSG00000048540', 'ENSG00000183662', 'ENSG00000178031', 'ENSG00000138759']",0.64115244
4.1,ThirdAnnotation,EX_5,103,0.7683215130023641,0.8125,0.6310679611650486,28507,15,38,65,2,"['ENSG00000109255', 'ENSG00000047617']","['ENSG00000109255', 'ENSG00000197261', 'ENSG00000226903', 'ENSG00000162494', 'ENSG00000146530', 'ENSG00000047617', 'ENSG00000108370', 'ENSG00000040731', 'ENSG00000286458', 'ENSG00000221818']",0.6254535
4.1,ThirdAnnotation,EX_6,56,0.8333333333333334,0.967741935483871,0.5357142857142857,28568,1,26,30,3,"['ENSG00000147655', 'ENSG00000262655', 'ENSG00000183662']","['ENSG00000147655', 'ENSG00000164099', 'ENSG00000081138', 'ENSG00000170419', 'ENSG00000262655', 'ENSG00000183662', 'ENSG00000171094', 'ENSG00000053108', 'ENSG00000188517', 'ENSG00000099139']",0.24589638
4.1,ThirdAnnotation,EX_7,42,0.8582089552238806,1.0,0.5476190476190477,28583,0,19,23,3,"['ENSG00000054938', 'ENSG00000215218', 'ENSG00000102362']","['ENSG00000182759', 'ENSG00000054938', 'ENSG00000215218', 'ENSG00000186297', 'ENSG00000102362', 'ENSG00000181072', 'ENSG00000172572', 'ENSG00000148488', 'ENSG00000102780', 'ENSG00000153820']",0.81634575
