clusterName,onTarget
Astro_1,0.68040925
Astro_2,0.66762775
Astro_3,0.6726054
EX_1,0.3211792
EX_2,0.80285096
EX_3,0.7912723
EX_4,1.0
EX_5,1.0
EX_6,0.6147002
EX_7,1.0
EX_8,0.83881474
EX_9,0.4024101
EX_10,0.08309671
EX_11,0.35224497
EX_12,0.78761303
EX_13,1.0
Endothelial_1,0.23415598
Ependymal_1,1.0
INH_1,0.27451158
INH_2,1.0
INH_3,0.4422736
INH_4,0.37859565
INH_5,0.60318726
INH_6,0.84920824
INH_7,0.6523612
Lymphocyte_1,1.0
MN_1,0.091344304
Macro_1,0.29301885
Meninges_1,1.0
Meninges_2,0.59180653
Micro_1,0.7655308
Micro_2,0.59989387
Micro_3,0.33709592
Micro_4,0.18408144
Micro_5,0.2443398
Micro_6,0.18989201
OligoProg_1,0.24797925
Oligo_1,1.0
Oligo_2,0.25630397
Oligo_3,0.5469857
Oligo_4,0.21928927
Opc_1,1.0
Pericyte_1,0.1636815
