clusterName,markerGene,onTarget_per_gene,onTarget
Astro_1,ENSG00000280809,1.0,0.68040925
Astro_1,ENSG00000287704,0.3608185,0.68040925
Astro_2,ENSG00000284977,1.0,0.66762775
Astro_2,ENSG00000234377,0.33525553,0.66762775
Astro_3,ENSG00000233611,1.0,0.6726054
Astro_3,ENSG00000287862,0.34521076,0.6726054
EX_1,ENSG00000251055,0.4462571,0.3211792
EX_1,ENSG00000235537,0.35456675,0.3211792
EX_1,ENSG00000224842,0.2877917,0.3211792
EX_1,ENSG00000248673,0.22767597,0.3211792
EX_2,ENSG00000225249,1.0,0.80285096
EX_2,ENSG00000267586,0.80285096,0.80285096
EX_2,ENSG00000255595,0.60404575,0.80285096
EX_3,ENSG00000279249,0.8199595,0.7912723
EX_3,ENSG00000250039,0.7625851,0.7912723
EX_4,ENSG00000259199,1.0,1.0
EX_4,ENSG00000251209,1.0,1.0
EX_4,ENSG00000253661,0.4345963,1.0
EX_5,ENSG00000226903,1.0,1.0
EX_5,ENSG00000234021,1.0,1.0
EX_6,ENSG00000224223,1.0,0.6147002
EX_6,ENSG00000261348,0.6442591,0.6147002
EX_6,ENSG00000286685,0.58514136,0.6147002
EX_6,ENSG00000267761,0.54701763,0.6147002
EX_7,ENSG00000287881,1.0,1.0
EX_7,ENSG00000204832,1.0,1.0
EX_7,ENSG00000265643,1.0,1.0
EX_8,ENSG00000224865,1.0,0.83881474
EX_8,ENSG00000250092,0.6776294,0.83881474
EX_9,ENSG00000249781,1.0,0.4024101
EX_9,ENSG00000228526,0.4024101,0.4024101
EX_9,ENSG00000256654,0.30630305,0.4024101
EX_10,ENSG00000232046,0.08309671,0.08309671
EX_10,ENSG00000249484,0.123120256,0.08309671
EX_10,ENSG00000207955,0.07615493,0.08309671
EX_11,ENSG00000248636,0.35224497,0.35224497
EX_11,ENSG00000228824,0.3803973,0.35224497
EX_11,ENSG00000235537,0.3346956,0.35224497
EX_12,ENSG00000254092,1.0,0.78761303
EX_12,ENSG00000223930,0.57522607,0.78761303
EX_13,ENSG00000241956,1.0,1.0
EX_13,ENSG00000253693,1.0,1.0
Endothelial_1,ENSG00000233237,0.23415598,0.23415598
Ependymal_1,ENSG00000258752,1.0,1.0
INH_1,ENSG00000288105,0.6461221,0.27451158
INH_1,ENSG00000271774,0.27451158,0.27451158
INH_1,ENSG00000249776,0.2281245,0.27451158
INH_2,ENSG00000255178,1.0,1.0
INH_2,ENSG00000254987,1.0,1.0
INH_3,ENSG00000263146,1.0,0.4422736
INH_3,ENSG00000267659,0.28398827,0.4422736
INH_3,ENSG00000283982,0.4422736,0.4422736
INH_4,ENSG00000248174,1.0,0.37859565
INH_4,ENSG00000234350,0.37859565,0.37859565
INH_4,ENSG00000255367,0.31978375,0.37859565
INH_5,ENSG00000223944,1.0,0.60318726
INH_5,ENSG00000224116,0.60318726,0.60318726
INH_5,ENSG00000229588,0.4471647,0.60318726
INH_6,ENSG00000233355,1.0,0.84920824
INH_6,ENSG00000250842,0.69841653,0.84920824
INH_7,ENSG00000275443,1.0,0.6523612
INH_7,ENSG00000263958,0.6523612,0.6523612
INH_7,ENSG00000228526,0.4917764,0.6523612
Lymphocyte_1,ENSG00000234663,1.0,1.0
Lymphocyte_1,ENSG00000281103,1.0,1.0
MN_1,ENSG00000260032,0.091344304,0.091344304
Macro_1,ENSG00000237484,0.4689384,0.29301885
Macro_1,ENSG00000287616,0.17159794,0.29301885
Macro_1,ENSG00000231535,0.29301885,0.29301885
Meninges_1,ENSG00000262769,1.0,1.0
Meninges_1,ENSG00000285336,1.0,1.0
Meninges_2,ENSG00000243620,1.0,0.59180653
Meninges_2,ENSG00000249307,0.183613,0.59180653
Micro_1,ENSG00000229140,1.0,0.7655308
Micro_1,ENSG00000237484,0.5310616,0.7655308
Micro_2,ENSG00000286618,1.0,0.59989387
Micro_2,ENSG00000250125,0.19978769,0.59989387
Micro_3,ENSG00000264031,0.33899036,0.33709592
Micro_3,ENSG00000231535,0.33520147,0.33709592
Micro_4,ENSG00000285534,0.23042001,0.18408144
Micro_4,ENSG00000176124,0.13774286,0.18408144
Micro_5,ENSG00000258667,0.2443398,0.2443398
Micro_6,ENSG00000228655,1.0,0.18989201
Micro_6,ENSG00000250125,0.18989201,0.18989201
Micro_6,ENSG00000231131,0.17387787,0.18989201
OligoProg_1,ENSG00000262223,0.43091017,0.24797925
OligoProg_1,ENSG00000253807,0.24797925,0.24797925
OligoProg_1,ENSG00000227036,0.23090601,0.24797925
Oligo_1,ENSG00000286438,1.0,1.0
Oligo_2,ENSG00000231373,0.36678338,0.25630397
Oligo_2,ENSG00000249484,0.25630397,0.25630397
Oligo_2,ENSG00000228793,0.20017965,0.25630397
Oligo_3,ENSG00000253877,0.5469857,0.5469857
Oligo_4,ENSG00000224924,0.245896,0.21928927
Oligo_4,ENSG00000261329,0.22095981,0.21928927
Oligo_4,ENSG00000227088,0.21761873,0.21928927
Oligo_4,ENSG00000259070,0.195766,0.21928927
Opc_1,ENSG00000231424,1.0,1.0
Opc_1,ENSG00000278254,1.0,1.0
Pericyte_1,ENSG00000247809,0.1636815,0.1636815
