software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,ThirdAnnotation,Astro_1,2459,0.7961099174488295,0.8822055137844611,0.5725904839365595,25978,188,1051,1408,2,"['ENSG00000280809', 'ENSG00000287704']","['ENSG00000280809', 'ENSG00000251442', 'ENSG00000245832', 'ENSG00000260372', 'ENSG00000226476', 'ENSG00000287704', 'ENSG00000234377', 'ENSG00000236790', 'ENSG00000287862', 'ENSG00000257060']",0.68040925
4.1,ThirdAnnotation,Astro_2,1442,0.5761467889908257,0.626746506986028,0.435506241331484,26809,374,814,628,2,"['ENSG00000284977', 'ENSG00000234377']","['ENSG00000284977', 'ENSG00000249328', 'ENSG00000236790', 'ENSG00000287704', 'ENSG00000234377', 'ENSG00000260372', 'ENSG00000287862', 'ENSG00000125462', 'ENSG00000227036', 'ENSG00000249307']",0.66762775
4.1,ThirdAnnotation,Astro_3,529,0.33249370277078083,0.3626373626373626,0.2495274102079395,27864,232,397,132,2,"['ENSG00000233611', 'ENSG00000287862']","['ENSG00000233611', 'ENSG00000287862', 'ENSG00000287704', 'ENSG00000234377', 'ENSG00000236790', 'ENSG00000260372', 'ENSG00000125462', 'ENSG00000249307', 'ENSG00000227036', 'ENSG00000241684']",0.6726054
4.1,ThirdAnnotation,EX_1,18,0.43103448275862066,0.5,0.2777777777777778,28602,5,13,5,4,"['ENSG00000251055', 'ENSG00000235537', 'ENSG00000224842', 'ENSG00000248673']","['ENSG00000251055', 'ENSG00000235537', 'ENSG00000224842', 'ENSG00000241163', 'ENSG00000248673', 'ENSG00000226053', 'ENSG00000224924', 'ENSG00000242268', 'ENSG00000259070', 'ENSG00000242428']",0.3211792
4.1,ThirdAnnotation,EX_2,78,0.7142857142857143,1.0,0.3333333333333333,28547,0,52,26,3,"['ENSG00000225249', 'ENSG00000267586', 'ENSG00000255595']","['ENSG00000225249', 'ENSG00000253880', 'ENSG00000267586', 'ENSG00000255595', 'ENSG00000251055', 'ENSG00000236333', 'ENSG00000197301', 'ENSG00000279668', 'ENSG00000285778', 'ENSG00000285741']",0.80285096
4.1,ThirdAnnotation,EX_3,76,0.7904411764705882,0.8775510204081632,0.5657894736842105,28543,6,33,43,2,"['ENSG00000279249', 'ENSG00000250039']","['ENSG00000232451', 'ENSG00000279249', 'ENSG00000250039', 'ENSG00000286003', 'ENSG00000285778', 'ENSG00000235885', 'ENSG00000232046', 'ENSG00000249776', 'ENSG00000280650', 'ENSG00000287720']",0.7912723
4.1,ThirdAnnotation,EX_4,141,0.6900726392251816,0.8382352941176471,0.40425531914893614,28473,11,84,57,3,"['ENSG00000259199', 'ENSG00000251209', 'ENSG00000253661']","['ENSG00000259199', 'ENSG00000251209', 'ENSG00000249738', 'ENSG00000285454', 'ENSG00000270069', 'ENSG00000253661', 'ENSG00000228824', 'ENSG00000287925', 'ENSG00000264015', 'ENSG00000228412']",1.0
4.1,ThirdAnnotation,EX_5,103,0.7348703170028819,0.8360655737704918,0.49514563106796117,28512,10,52,51,2,"['ENSG00000226903', 'ENSG00000234021']","['ENSG00000226903', 'ENSG00000258710', 'ENSG00000224243', 'ENSG00000251294', 'ENSG00000234021', 'ENSG00000234352', 'ENSG00000287925', 'ENSG00000224842', 'ENSG00000285741', 'ENSG00000228412']",1.0
4.1,ThirdAnnotation,EX_6,56,0.5078125,0.7222222222222222,0.23214285714285715,28564,5,43,13,4,"['ENSG00000224223', 'ENSG00000261348', 'ENSG00000286685', 'ENSG00000267761']","['ENSG00000287722', 'ENSG00000224223', 'ENSG00000261348', 'ENSG00000286685', 'ENSG00000253582', 'ENSG00000267761', 'ENSG00000279668', 'ENSG00000228824', 'ENSG00000249859', 'ENSG00000262801']",0.6147002
4.1,ThirdAnnotation,EX_7,42,0.6111111111111112,0.9166666666666666,0.2619047619047619,28582,1,31,11,3,"['ENSG00000287881', 'ENSG00000204832', 'ENSG00000265643']","['ENSG00000287881', 'ENSG00000204832', 'ENSG00000265643', 'ENSG00000237036', 'ENSG00000233420', 'ENSG00000281344', 'ENSG00000234352', 'ENSG00000263958', 'ENSG00000250842', 'ENSG00000236333']",1.0
