clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astro_1,ENSG00000280809,0.1469125142703113,1.2001828,1.0
Astro_1,ENSG00000251442,0.029470491843070597,0.84282774,1.0
Astro_1,ENSG00000245832,0.035857528181240675,1.73429,0.9757927485874721
Astro_1,ENSG00000260372,0.04867556232071527,1.6911576,0.968321837130047
Astro_1,ENSG00000226476,0.02354458544391827,1.3820345,0.957829163188026
Astro_1,ENSG00000287704,0.1167159760734798,3.0412629,0.9578219879241217
Astro_1,ENSG00000234377,0.09496793038880928,2.9582818,0.948099129256748
Astro_1,ENSG00000236790,0.029269444598471823,1.4147031,0.9461225271224976
Astro_1,ENSG00000287862,0.04543989617902355,2.244378,0.9445752047357105
Astro_1,ENSG00000257060,0.019984916922032556,0.9438509,0.9413677085013616
Astro_2,ENSG00000284977,0.08217889023761624,1.5675125,1.0
Astro_2,ENSG00000249328,0.024786318781793867,1.0382485,0.9646983742713928
Astro_2,ENSG00000236790,0.09237207390433377,1.9505746,0.9588973720868429
Astro_2,ENSG00000287704,0.07181950869610597,2.8758936,0.955396674928211
Astro_2,ENSG00000234377,0.13353136048891762,3.4211721,0.9527904944760459
Astro_2,ENSG00000260372,0.020836930690520675,1.0841705,0.9505863998617444
Astro_2,ENSG00000287862,0.04916718026722219,2.5531845,0.9483990555717832
Astro_2,ENSG00000125462,0.03286277972085448,1.7641764,0.93009890686898
Astro_2,ENSG00000227036,0.031660006741124,1.5408125,0.9096356970923287
Astro_2,ENSG00000249307,0.06599280608897858,2.8024788,0.9044962596325647
Astro_3,ENSG00000233611,0.05696176596346465,0.7490319,1.0
Astro_3,ENSG00000287862,0.09816920572606772,2.9172387,0.9548385512261164
Astro_3,ENSG00000287704,0.06095998945131191,2.511632,0.9523809523809523
Astro_3,ENSG00000234377,0.0580487008956026,3.2932086,0.9509560834793818
Astro_3,ENSG00000236790,0.03139572003566368,1.580734,0.9492806863217127
Astro_3,ENSG00000260372,0.02847473620975777,0.92228746,0.9460922862802233
Astro_3,ENSG00000125462,0.03383857271659999,1.6380405,0.9247162356263116
Astro_3,ENSG00000249307,0.056463561867289166,3.415924,0.9172339794181642
Astro_3,ENSG00000227036,0.06524795798385317,1.7976167,0.9157422057219914
Astro_3,ENSG00000241684,0.036759763986844926,2.1307464,0.893783396198636
EX_1,ENSG00000251055,0.019845106039136015,0.1196954,0.9761904761904762
EX_1,ENSG00000235537,0.02019911902315207,0.25778317,0.9566584924856821
EX_1,ENSG00000224842,0.013598025392396528,0.37845263,0.9430613546144395
EX_1,ENSG00000241163,0.011960035231613991,0.4122626,0.9285714285714286
EX_1,ENSG00000248673,0.014175582833478874,0.94099724,0.9279053707917532
