clusterName,onTarget
Astro_1,0.5177128
Astro_2,0.48138684
Astro_3,0.29496682
EX_1,0.16278255
EX_2,1.0
EX_3,0.18456335
EX_4,0.35999453
EX_5,0.6254535
EX_6,0.3956785
EX_7,0.81634575
EX_8,0.17431973
EX_9,0.20014384
EX_10,0.09295668
EX_11,0.3100873
EX_12,0.15728065
EX_13,0.4593621
Endothelial_1,1.0
Ependymal_1,1.0
INH_1,0.3717807
INH_2,0.78874147
INH_3,0.41256255
INH_4,0.3898758
INH_5,0.56836766
INH_6,0.38198733
INH_7,0.31860158
Lymphocyte_1,1.0
MN_1,0.5750316
Macro_1,1.0
Meninges_1,1.0
Meninges_2,0.5155806
Micro_1,0.1732165
Micro_2,0.22753198
Micro_3,0.6008362
Micro_4,0.15072513
Micro_5,0.40918016
Micro_6,1.0
OligoProg_1,0.20729613
Oligo_1,1.0
Oligo_2,0.3001216
Oligo_3,0.39418688
Oligo_4,0.20021874
Opc_1,0.6295275
Pericyte_1,0.7007654
