clusterName,markerGene,onTarget_per_gene,onTarget
Astro_1,ENSG00000160111,0.67552197,0.5177128
Astro_1,ENSG00000135063,0.35990354,0.5177128
Astro_2,ENSG00000132164,0.52298015,0.48138684
Astro_2,ENSG00000072952,0.4397935,0.48138684
Astro_3,ENSG00000129521,0.4071581,0.29496682
Astro_3,ENSG00000172572,0.18277553,0.29496682
EX_1,ENSG00000172197,0.089039676,0.16278255
EX_1,ENSG00000189056,0.20141876,0.16278255
EX_1,ENSG00000134343,0.16278255,0.16278255
EX_2,ENSG00000268089,1.0,1.0
EX_2,ENSG00000174417,1.0,1.0
EX_2,ENSG00000164483,0.18624671,1.0
EX_3,ENSG00000091490,1.0,0.18456335
EX_3,ENSG00000164483,0.18456335,0.18456335
EX_3,ENSG00000221818,0.1679358,0.18456335
EX_4,ENSG00000138741,0.4785727,0.35999453
EX_4,ENSG00000183662,0.2414164,0.35999453
EX_5,ENSG00000109255,1.0,0.6254535
EX_5,ENSG00000047617,0.250907,0.6254535
EX_6,ENSG00000081138,0.47732913,0.3956785
EX_6,ENSG00000138741,0.31402785,0.3956785
EX_7,ENSG00000054938,1.0,0.81634575
EX_7,ENSG00000215218,0.81634575,0.81634575
EX_7,ENSG00000134215,0.22224772,0.81634575
EX_8,ENSG00000189056,0.22951779,0.17431973
EX_8,ENSG00000134343,0.17431973,0.17431973
EX_8,ENSG00000128655,0.16463888,0.17431973
EX_9,ENSG00000147246,0.23720191,0.20014384
EX_9,ENSG00000107105,0.20014384,0.20014384
EX_9,ENSG00000162374,0.16865979,0.20014384
EX_10,ENSG00000221818,0.12895454,0.09295668
EX_10,ENSG00000158352,0.08263161,0.09295668
EX_10,ENSG00000250366,0.09295668,0.09295668
EX_11,ENSG00000146477,0.44625607,0.3100873
EX_11,ENSG00000150361,0.17391852,0.3100873
EX_12,ENSG00000163032,0.17568767,0.15728065
EX_12,ENSG00000163630,0.13887364,0.15728065
EX_13,ENSG00000144229,0.55073875,0.4593621
EX_13,ENSG00000182348,0.3679854,0.4593621
Endothelial_1,ENSG00000110799,1.0,1.0
Endothelial_1,ENSG00000102755,1.0,1.0
Ependymal_1,ENSG00000118492,1.0,1.0
Ependymal_1,ENSG00000154099,1.0,1.0
INH_1,ENSG00000144227,0.40720046,0.3717807
INH_1,ENSG00000158258,0.3717807,0.3717807
INH_1,ENSG00000077943,0.32463697,0.3717807
INH_2,ENSG00000183625,1.0,0.78874147
INH_2,ENSG00000157404,0.5774829,0.78874147
INH_3,ENSG00000127863,0.56187594,0.41256255
INH_3,ENSG00000117069,0.41256255,0.41256255
INH_3,ENSG00000256463,0.3504486,0.41256255
INH_4,ENSG00000138795,0.3630945,0.3898758
INH_4,ENSG00000196549,0.4166571,0.3898758
INH_5,ENSG00000164484,0.6833201,0.56836766
INH_5,ENSG00000122585,0.56836766,0.56836766
INH_5,ENSG00000165970,0.511803,0.56836766
INH_6,ENSG00000143341,0.42459008,0.38198733
INH_6,ENSG00000174145,0.33938462,0.38198733
INH_7,ENSG00000185551,0.4747102,0.31860158
INH_7,ENSG00000166342,0.31860158,0.31860158
INH_7,ENSG00000158258,0.28679827,0.31860158
Lymphocyte_1,ENSG00000205045,1.0,1.0
Lymphocyte_1,ENSG00000172673,1.0,1.0
MN_1,ENSG00000137267,0.6571502,0.5750316
MN_1,ENSG00000277586,0.49291295,0.5750316
Macro_1,ENSG00000124491,1.0,1.0
Macro_1,ENSG00000260314,1.0,1.0
Meninges_1,ENSG00000144644,1.0,1.0
Meninges_1,ENSG00000126778,1.0,1.0
Meninges_2,ENSG00000103888,0.5155806,0.5155806
Micro_1,ENSG00000128573,0.2055608,0.1732165
Micro_1,ENSG00000107719,0.18634437,0.1732165
Micro_1,ENSG00000059377,0.16008864,0.1732165
Micro_1,ENSG00000077420,0.15383956,0.1732165
Micro_2,ENSG00000173391,1.0,0.22753198
Micro_2,ENSG00000071051,0.22753198,0.22753198
Micro_2,ENSG00000106799,0.18177046,0.22753198
Micro_3,ENSG00000136235,1.0,0.6008362
Micro_3,ENSG00000145703,0.20167248,0.6008362
Micro_4,ENSG00000145685,0.16494142,0.15072513
Micro_4,ENSG00000077420,0.13650882,0.15072513
Micro_5,ENSG00000051108,0.5461618,0.40918016
Micro_5,ENSG00000120063,0.27219856,0.40918016
Micro_6,ENSG00000008988,1.0,1.0
Micro_6,ENSG00000130208,1.0,1.0
Micro_6,ENSG00000177600,0.30812472,1.0
OligoProg_1,ENSG00000139364,0.20729613,0.20729613
Oligo_1,ENSG00000151388,1.0,1.0
Oligo_1,ENSG00000166450,1.0,1.0
Oligo_1,ENSG00000156049,0.33932167,1.0
Oligo_2,ENSG00000077522,0.38213718,0.3001216
Oligo_2,ENSG00000156049,0.3001216,0.3001216
Oligo_2,ENSG00000158865,0.26837188,0.3001216
Oligo_3,ENSG00000197430,0.5417023,0.39418688
Oligo_3,ENSG00000164161,0.2466715,0.39418688
Oligo_4,ENSG00000164161,0.23277123,0.20021874
Oligo_4,ENSG00000135643,0.22653586,0.20021874
Oligo_4,ENSG00000105894,0.14531933,0.20021874
Oligo_4,ENSG00000158352,0.17390163,0.20021874
Opc_1,ENSG00000157890,1.0,0.6295275
Opc_1,ENSG00000116147,0.25905502,0.6295275
Pericyte_1,ENSG00000187498,0.84838194,0.7007654
Pericyte_1,ENSG00000134871,0.55314887,0.7007654
