software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,ThirdAnnotation,Astro_1,2459,0.819160180647641,0.8580775037745345,0.6933712891419276,25884,282,754,1705,2,"['ENSG00000160111', 'ENSG00000135063']","['ENSG00000152137', 'ENSG00000160111', 'ENSG00000038427', 'ENSG00000131386', 'ENSG00000135063', 'ENSG00000171885', 'ENSG00000141469', 'ENSG00000026508', 'ENSG00000111783', 'ENSG00000131095']",0.5177128
4.1,ThirdAnnotation,Astro_2,1442,0.6825760733639016,0.7806912991656734,0.45423023578363386,26999,184,787,655,2,"['ENSG00000132164', 'ENSG00000072952']","['ENSG00000133067', 'ENSG00000132164', 'ENSG00000116285', 'ENSG00000072952', 'ENSG00000129521', 'ENSG00000134508', 'ENSG00000172987', 'ENSG00000182732', 'ENSG00000080493', 'ENSG00000198838']",0.48138684
4.1,ThirdAnnotation,Astro_3,529,0.5586749017405952,0.6357827476038339,0.3761814744801512,27982,114,330,199,2,"['ENSG00000129521', 'ENSG00000172572']","['ENSG00000151929', 'ENSG00000164089', 'ENSG00000116285', 'ENSG00000129521', 'ENSG00000151208', 'ENSG00000172572', 'ENSG00000152583', 'ENSG00000112541', 'ENSG00000168710', 'ENSG00000152977']",0.29496682
4.1,ThirdAnnotation,EX_1,18,0.7142857142857143,1.0,0.3333333333333333,28607,0,12,6,3,"['ENSG00000172197', 'ENSG00000189056', 'ENSG00000134343']","['ENSG00000102468', 'ENSG00000132911', 'ENSG00000172197', 'ENSG00000189056', 'ENSG00000134343', 'ENSG00000135362', 'ENSG00000150361', 'ENSG00000164128', 'ENSG00000128655', 'ENSG00000168243']",0.16278255
4.1,ThirdAnnotation,EX_2,78,0.7964601769911505,0.972972972972973,0.46153846153846156,28546,1,42,36,3,"['ENSG00000268089', 'ENSG00000174417', 'ENSG00000164483']","['ENSG00000268089', 'ENSG00000174417', 'ENSG00000151892', 'ENSG00000164483', 'ENSG00000072657', 'ENSG00000116544', 'ENSG00000153820', 'ENSG00000128655', 'ENSG00000164946', 'ENSG00000132872']",1.0
4.1,ThirdAnnotation,EX_3,76,0.85,0.9107142857142857,0.6710526315789473,28544,5,25,51,3,"['ENSG00000091490', 'ENSG00000164483', 'ENSG00000221818']","['ENSG00000102924', 'ENSG00000091490', 'ENSG00000172164', 'ENSG00000164483', 'ENSG00000221818', 'ENSG00000164128', 'ENSG00000104327', 'ENSG00000182732', 'ENSG00000152822', 'ENSG00000121440']",0.18456335
4.1,ThirdAnnotation,EX_4,141,0.8349328214971209,0.9157894736842105,0.6170212765957447,28476,8,54,87,2,"['ENSG00000138741', 'ENSG00000183662']","['ENSG00000175344', 'ENSG00000006128', 'ENSG00000138741', 'ENSG00000171246', 'ENSG00000048540', 'ENSG00000183662', 'ENSG00000178031', 'ENSG00000138759', 'ENSG00000107242', 'ENSG00000152822']",0.35999453
4.1,ThirdAnnotation,EX_5,103,0.7683215130023641,0.8125,0.6310679611650486,28507,15,38,65,2,"['ENSG00000109255', 'ENSG00000047617']","['ENSG00000109255', 'ENSG00000165304', 'ENSG00000197261', 'ENSG00000141052', 'ENSG00000146530', 'ENSG00000047617', 'ENSG00000108370', 'ENSG00000040731', 'ENSG00000221818', 'ENSG00000196090']",0.6254535
4.1,ThirdAnnotation,EX_6,56,0.7371794871794872,0.92,0.4107142857142857,28567,2,33,23,2,"['ENSG00000081138', 'ENSG00000138741']","['ENSG00000147655', 'ENSG00000164099', 'ENSG00000081138', 'ENSG00000170419', 'ENSG00000138741', 'ENSG00000262655', 'ENSG00000183662', 'ENSG00000171094', 'ENSG00000188517', 'ENSG00000099139']",0.3956785
4.1,ThirdAnnotation,EX_7,42,0.8050847457627118,1.0,0.4523809523809524,28583,0,23,19,3,"['ENSG00000054938', 'ENSG00000215218', 'ENSG00000134215']","['ENSG00000182759', 'ENSG00000054938', 'ENSG00000215218', 'ENSG00000186297', 'ENSG00000181072', 'ENSG00000134215', 'ENSG00000172572', 'ENSG00000148488', 'ENSG00000102780', 'ENSG00000153820']",0.81634575
4.1,ThirdAnnotation,EX_8,123,0.7464788732394366,0.9137931034482759,0.43089430894308944,28497,5,70,53,3,"['ENSG00000189056', 'ENSG00000134343', 'ENSG00000128655']","['ENSG00000132911', 'ENSG00000070729', 'ENSG00000189056', 'ENSG00000134343', 'ENSG00000128655', 'ENSG00000150361', 'ENSG00000134533', 'ENSG00000127329', 'ENSG00000157542', 'ENSG00000174473']",0.17431973
