clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astro_1,ENSG00000152137,0.0466055681098588,1.3021995,1.0
Astro_1,ENSG00000160111,0.09298622855002414,1.8931357,0.9885634127117339
Astro_1,ENSG00000038427,0.0188795482319799,1.8559269,0.9673135195459638
Astro_1,ENSG00000131386,0.016166914845281488,1.7165271,0.9639769863514673
Astro_1,ENSG00000135063,0.028714026491731215,2.2692301,0.9576542334897178
Astro_1,ENSG00000171885,0.017972840410168753,1.8541832,0.9545810549032121
Astro_1,ENSG00000141469,0.01939856863378772,2.6114142,0.9535089887323833
Astro_1,ENSG00000026508,0.03695423172717552,2.4407964,0.9504899964446113
Astro_1,ENSG00000111783,0.033867895192211214,2.476969,0.9432577803021386
Astro_1,ENSG00000131095,0.030017205626109753,2.9314127,0.9393068935189929
Astro_2,ENSG00000133067,0.023445952210378148,0.7168688,1.0
Astro_2,ENSG00000132164,0.04928458537627839,1.2839284,0.9782828915686834
Astro_2,ENSG00000116285,0.019399922930903438,1.4893621,0.972028808934348
Astro_2,ENSG00000072952,0.015325111583508442,1.5908246,0.9696715616044544
Astro_2,ENSG00000129521,0.020928265827509736,2.124364,0.9588843498911176
Astro_2,ENSG00000134508,0.017984109517150012,1.4978857,0.9522182430539813
Astro_2,ENSG00000172987,0.029775767321662275,3.4959989,0.9410937130451202
Astro_2,ENSG00000182732,0.05577774340724441,3.4912243,0.9183398087819418
Astro_2,ENSG00000080493,0.01447212339597138,2.7110999,0.9060148000717163
Astro_2,ENSG00000198838,0.04972692196622314,3.1620183,0.9033732669694083
Astro_3,ENSG00000151929,0.009909668361650612,1.1213173,1.0
Astro_3,ENSG00000164089,0.020404549592652903,1.5454404,0.9875192642211914
Astro_3,ENSG00000116285,0.014524044572228794,1.5049336,0.9723182249636877
Astro_3,ENSG00000129521,0.028707219592195975,2.5194726,0.9653321887765612
Astro_3,ENSG00000151208,0.017794782648807086,0.9556099,0.9159551135131291
Astro_3,ENSG00000172572,0.04569960455145355,2.1808019,0.8952372585024152
