software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,ThirdAnnotation,Astro_1,2459,0.6960879855213699,0.8467400508044031,0.406669377795852,25985,181,1459,1000,2,"['ENSG00000038427', 'ENSG00000131386']","['ENSG00000106624', 'ENSG00000156535', 'ENSG00000175287', 'ENSG00000128833', 'ENSG00000038427', 'ENSG00000131386', 'ENSG00000144909', 'ENSG00000182902', 'ENSG00000117519', 'ENSG00000138685']",0.37002614,fold_1
4.1,ThirdAnnotation,Astro_2,1442,0.4277942631058358,0.44896193771626297,0.35991678224687934,26546,637,923,519,2,"['ENSG00000129151', 'ENSG00000144908']","['ENSG00000129151', 'ENSG00000144908', 'ENSG00000056487', 'ENSG00000182902', 'ENSG00000144909', 'ENSG00000117519', 'ENSG00000138685', 'ENSG00000182732', 'ENSG00000110693', 'ENSG00000116729']",0.49820304,fold_1
4.1,ThirdAnnotation,Astro_3,529,0.2273516140229087,0.2227891156462585,0.24763705103969755,27639,457,398,131,3,"['ENSG00000056487', 'ENSG00000144908', 'ENSG00000182902']","['ENSG00000056487', 'ENSG00000144908', 'ENSG00000117519', 'ENSG00000182902', 'ENSG00000144909', 'ENSG00000038427', 'ENSG00000101605', 'ENSG00000143878', 'ENSG00000131386', 'ENSG00000182732']",0.56258804,fold_1
4.1,ThirdAnnotation,EX_1,18,0.46296296296296297,0.5555555555555556,0.2777777777777778,28603,4,13,5,3,"['ENSG00000172197', 'ENSG00000050628', 'ENSG00000151892']","['ENSG00000172197', 'ENSG00000050628', 'ENSG00000104549', 'ENSG00000151892', 'ENSG00000170381', 'ENSG00000138442', 'ENSG00000107614', 'ENSG00000113494', 'ENSG00000104967', 'ENSG00000144847']",0.089039676,fold_1
4.1,ThirdAnnotation,EX_2,78,0.5844155844155844,0.9473684210526315,0.23076923076923078,28546,1,60,18,3,"['ENSG00000151892', 'ENSG00000050628', 'ENSG00000179542']","['ENSG00000178235', 'ENSG00000151892', 'ENSG00000050628', 'ENSG00000170381', 'ENSG00000179542', 'ENSG00000203685', 'ENSG00000258947', 'ENSG00000175866', 'ENSG00000183780', 'ENSG00000011347']",0.17274022,fold_1
4.1,ThirdAnnotation,EX_3,76,0.5405405405405406,0.8888888888888888,0.21052631578947367,28547,2,60,16,4,"['ENSG00000123643', 'ENSG00000119681', 'ENSG00000103056', 'ENSG00000175745']","['ENSG00000164270', 'ENSG00000123643', 'ENSG00000119681', 'ENSG00000103056', 'ENSG00000122490', 'ENSG00000175745', 'ENSG00000158089', 'ENSG00000164076', 'ENSG00000170381', 'ENSG00000182732']",0.33566153,fold_1
4.1,ThirdAnnotation,EX_4,141,0.6515580736543909,0.8679245283018868,0.3262411347517731,28477,7,95,46,3,"['ENSG00000073792', 'ENSG00000213983', 'ENSG00000050628']","['ENSG00000073792', 'ENSG00000213983', 'ENSG00000197702', 'ENSG00000146530', 'ENSG00000050628', 'ENSG00000157005', 'ENSG00000198732', 'ENSG00000198785', 'ENSG00000151952', 'ENSG00000203685']",0.7079273,fold_1
4.1,ThirdAnnotation,EX_5,103,0.6653992395437263,0.875,0.33980582524271846,28517,5,68,35,2,"['ENSG00000166863', 'ENSG00000146530']","['ENSG00000166863', 'ENSG00000161249', 'ENSG00000154478', 'ENSG00000146530', 'ENSG00000095587', 'ENSG00000157005', 'ENSG00000203685', 'ENSG00000158089', 'ENSG00000164076', 'ENSG00000121297']",0.76348937,fold_1
4.1,ThirdAnnotation,EX_6,56,0.46296296296296297,0.7692307692307693,0.17857142857142858,28566,3,46,10,5,"['ENSG00000063127', 'ENSG00000164211', 'ENSG00000158220', 'ENSG00000084628', 'ENSG00000169116']","['ENSG00000063127', 'ENSG00000164211', 'ENSG00000158220', 'ENSG00000146530', 'ENSG00000084628', 'ENSG00000169116', 'ENSG00000203685', 'ENSG00000180875', 'ENSG00000122025', 'ENSG00000158089']",0.46356454,fold_1
4.1,ThirdAnnotation,EX_7,42,0.7142857142857143,1.0,0.3333333333333333,28583,0,28,14,3,"['ENSG00000149527', 'ENSG00000151892', 'ENSG00000157005']","['ENSG00000149527', 'ENSG00000178235', 'ENSG00000119681', 'ENSG00000151892', 'ENSG00000157005', 'ENSG00000124302', 'ENSG00000102572', 'ENSG00000177181', 'ENSG00000164076', 'ENSG00000170381']",0.24764395,fold_1
4.1,ThirdAnnotation,EX_8,123,0.6739811912225705,0.8775510204081632,0.34959349593495936,28496,6,80,43,4,"['ENSG00000095587', 'ENSG00000050628', 'ENSG00000151892', 'ENSG00000170381']","['ENSG00000095587', 'ENSG00000050628', 'ENSG00000157005', 'ENSG00000151892', 'ENSG00000170381', 'ENSG00000124302', 'ENSG00000113494', 'ENSG00000180875', 'ENSG00000075461', 'ENSG00000174099']",0.23097318,fold_1
4.1,ThirdAnnotation,EX_9,203,0.32367972742759793,0.3958333333333333,0.18719211822660098,28364,58,165,38,3,"['ENSG00000158201', 'ENSG00000158258', 'ENSG00000177181']","['ENSG00000158201', 'ENSG00000158258', 'ENSG00000177181', 'ENSG00000065989', 'ENSG00000126934', 'ENSG00000082293', 'ENSG00000180875', 'ENSG00000182732', 'ENSG00000151952', 'ENSG00000198431']",0.17420222,fold_1
4.1,ThirdAnnotation,EX_10,65,0.20504731861198738,0.20634920634920634,0.2,28510,50,52,13,4,"['ENSG00000095587', 'ENSG00000138311', 'ENSG00000158089', 'ENSG00000175745']","['ENSG00000095587', 'ENSG00000138311', 'ENSG00000122367', 'ENSG00000158089', 'ENSG00000112561', 'ENSG00000175745', 'ENSG00000164161', 'ENSG00000186468', 'ENSG00000078269', 'ENSG00000116729']",0.10914759,fold_1
4.1,ThirdAnnotation,EX_11,77,0.5583756345177665,0.7333333333333333,0.2857142857142857,28540,8,55,22,3,"['ENSG00000124302', 'ENSG00000166025', 'ENSG00000183780']","['ENSG00000162433', 'ENSG00000179542', 'ENSG00000124302', 'ENSG00000151892', 'ENSG00000166025', 'ENSG00000183780', 'ENSG00000198785', 'ENSG00000180875', 'ENSG00000022567', 'ENSG00000107614']",0.13164584,fold_1
