Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_type,gene_name,level,tag,transcript_id,transcript_type,transcript_name,exon_number,exon_id,transcript_support_level,havana_transcript,hgnc_id,havana_gene,ont,protein_id,ccdsid,artif_dupl,length,ENSEMBL_ID,tx_length
chr1,HAVANA,gene,11120,24894,.,+,.,ENSG00000290825.2,lncRNA,DDX11L16,2,overlaps_pseudogene,,,,,,,,,,,,,,13774,ENSG00000290825,1762
chr1,HAVANA,gene,12009,13670,.,+,.,ENSG00000223972.6,transcribed_unprocessed_pseudogene,DDX11L1,2,,,,,,,,,HGNC:37102,OTTHUMG00000000961.2,,,,,1661,ENSG00000223972,632
chr1,HAVANA,gene,14355,30744,.,-,.,ENSG00000310526.1,lncRNA,WASH7P,2,overlaps_pseudogene,,,,,,,,HGNC:38034,,,,,,16389,ENSG00000310526,2843
chr1,HAVANA,gene,14695,24886,.,-,.,ENSG00000227232.6,transcribed_unprocessed_pseudogene,WASH7P,2,overlapping_locus,,,,,,,,HGNC:38034,OTTHUMG00000000958.1,,,,,10191,ENSG00000227232,1380
chr1,ENSEMBL,gene,17368,17436,.,-,.,ENSG00000278267.1,miRNA,MIR6859-1,3,,,,,,,,,HGNC:50039,,,,,,68,ENSG00000278267,68
chr1,HAVANA,gene,28588,31109,.,+,.,ENSG00000243485.6,lncRNA,MIR1302-2HG,2,ncRNA_host,,,,,,,,HGNC:52482,OTTHUMG00000000959.2,,,,,2521,ENSG00000243485,712
chr1,ENSEMBL,gene,30365,30503,.,+,.,ENSG00000284332.1,miRNA,MIR1302-2,3,,,,,,,,,HGNC:35294,,,,,,138,ENSG00000284332,138
chr1,HAVANA,gene,34552,37595,.,-,.,ENSG00000237613.3,lncRNA,FAM138A,2,,,,,,,,,HGNC:32334,OTTHUMG00000000960.1,,,,,3043,ENSG00000237613,1373
chr1,HAVANA,gene,36525,40778,.,+,.,ENSG00000308361.1,lncRNA,ENSG00000308361,2,,,,,,,,,,,,,,,4253,ENSG00000308361,319
chr1,HAVANA,gene,51890,64116,.,+,.,ENSG00000290826.2,lncRNA,ENSG00000290826,2,overlaps_pseudogene,,,,,,,,,,,,,,12226,ENSG00000290826,1414
chr1,HAVANA,gene,52472,53312,.,+,.,ENSG00000268020.3,transcribed_unprocessed_pseudogene,OR4G4P,2,overlapping_locus,,,,,,,,HGNC:14822,OTTHUMG00000185779.1,,,,,840,ENSG00000268020,840
chr1,HAVANA,gene,62948,63887,.,+,.,ENSG00000240361.3,transcribed_unprocessed_pseudogene,OR4G11P,2,,,,,,,,,HGNC:31276,OTTHUMG00000001095.3,,,,,939,ENSG00000240361,939
chr1,HAVANA,gene,65418,71585,.,+,.,ENSG00000186092.7,protein_coding,OR4F5,2,,,,,,,,,HGNC:14825,OTTHUMG00000001094.4,,,,,6167,ENSG00000186092,2618
chr1,HAVANA,gene,89294,181719,.,-,.,ENSG00000241860.8,lncRNA,ENSG00000241860,2,overlaps_pseudogene,,,,,,,,,OTTHUMG00000002480.4,,,,,92425,ENSG00000241860,4860
chr1,HAVANA,gene,89550,91105,.,-,.,ENSG00000239945.1,lncRNA,ENSG00000239945,2,overlapping_locus,,,,,,,,,OTTHUMG00000001097.2,,,,,1555,ENSG00000239945,1319
chr1,HAVANA,gene,96637,105742,.,+,.,ENSG00000308314.1,lncRNA,ENSG00000308314,2,,,,,,,,,,,,,,,9105,ENSG00000308314,1280
chr1,HAVANA,gene,131024,134836,.,+,.,ENSG00000233750.3,processed_pseudogene,CICP27,1,pseudo_consens,,,,,,,,HGNC:48835,OTTHUMG00000001257.3,,,,,3812,ENSG00000233750,3812
chr1,HAVANA,gene,134913,136246,.,-,.,ENSG00000308579.1,lncRNA,ENSG00000308579,2,overlaps_pseudogene,,,,,,,,,,,,,,1333,ENSG00000308579,797
chr1,HAVANA,gene,135140,135895,.,-,.,ENSG00000268903.1,transcribed_processed_pseudogene,ENSG00000268903,2,overlapping_locus,,,,,,,,,OTTHUMG00000182518.2,,,,,755,ENSG00000268903,755
chr1,HAVANA,gene,137681,137965,.,-,.,ENSG00000269981.1,transcribed_processed_pseudogene,ENSG00000269981,2,overlapping_locus,,,,,,,,,OTTHUMG00000182738.2,,,,,284,ENSG00000269981,284
chr1,HAVANA,gene,139789,140339,.,-,.,ENSG00000239906.1,lncRNA,ENSG00000239906,2,,,,,,,,,,OTTHUMG00000002481.1,,,,,550,ENSG00000239906,323
chr1,HAVANA,gene,146385,199861,.,-,.,ENSG00000310528.1,lncRNA,ENSG00000310528,2,overlaps_pseudogene,,,,,,,,,,,,,,53476,ENSG00000310528,1833
chr1,ENSEMBL,gene,157783,157887,.,-,.,ENSG00000222623.1,snRNA,RNU6-1100P,3,,,,,,,,,HGNC:48063,,,,,,104,ENSG00000222623,104
chr1,HAVANA,gene,160445,161525,.,+,.,ENSG00000241599.1,lncRNA,ENSG00000241599,2,,,,,,,,,,OTTHUMG00000002525.1,,,,,1080,ENSG00000241599,457
chr1,HAVANA,gene,180930,184937,.,+,.,ENSG00000308415.1,lncRNA,DDX11L2,2,overlaps_pseudogene,,,,,,,,,,,,,,4007,ENSG00000308415,2130
