Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_type,gene_name,level,mgi_id,havana_gene,transcript_id,transcript_type,transcript_name,transcript_support_level,tag,havana_transcript,exon_number,exon_id,protein_id,ccdsid,ont,length,ENSEMBL_ID,tx_length
chr1,HAVANA,gene,3143475,3144545,.,+,.,ENSMUSG00000102693.2,TEC,4933401J01Rik,2,MGI:1918292,OTTMUSG00000049935.1,,,,,,,,,,,,1070,ENSMUSG00000102693,1070
chr1,ENSEMBL,gene,3172238,3172348,.,+,.,ENSMUSG00000064842.3,snRNA,Gm26206,3,MGI:5455983,,,,,,,,,,,,,110,ENSMUSG00000064842,110
chr1,HAVANA,gene,3276123,3741721,.,-,.,ENSMUSG00000051951.6,protein_coding,Xkr4,2,MGI:3528744,OTTMUSG00000026353.1,,,,,,,,,,,,465598,ENSMUSG00000051951,4153
chr1,HAVANA,gene,3322979,3323459,.,+,.,ENSMUSG00000102851.2,processed_pseudogene,Gm18956,2,MGI:5011141,OTTMUSG00000049958.1,,,,,,,,,,,,480,ENSMUSG00000102851,480
chr1,HAVANA,gene,3435953,3438772,.,-,.,ENSMUSG00000103377.2,TEC,Gm37180,2,MGI:5610408,OTTMUSG00000049960.1,,,,,,,,,,,,2819,ENSMUSG00000103377,2819
chr1,HAVANA,gene,3445778,3448011,.,-,.,ENSMUSG00000104017.2,TEC,Gm37363,2,MGI:5610591,OTTMUSG00000049961.1,,,,,,,,,,,,2233,ENSMUSG00000104017,2233
chr1,HAVANA,gene,3535199,3537508,.,-,.,ENSMUSG00000103025.2,TEC,Gm37686,2,MGI:5610914,OTTMUSG00000049930.1,,,,,,,,,,,,2309,ENSMUSG00000103025,2309
chr1,HAVANA,gene,3536793,3583776,.,+,.,ENSMUSG00000089699.3,lncRNA,Gm1992,2,MGI:3780162,OTTMUSG00000026352.1,,,,,,,,,,,,46983,ENSMUSG00000089699,266
chr1,HAVANA,gene,3582673,3584730,.,-,.,ENSMUSG00000103201.2,TEC,Gm37329,2,MGI:5610557,OTTMUSG00000049929.1,,,,,,,,,,,,2057,ENSMUSG00000103201,2057
chr1,HAVANA,gene,3602017,3602943,.,+,.,ENSMUSG00000103147.2,processed_pseudogene,Gm7341,2,MGI:3648497,OTTMUSG00000049921.1,,,,,,,,,,,,926,ENSMUSG00000103147,926
chr1,HAVANA,gene,3663114,3666126,.,-,.,ENSMUSG00000103161.2,TEC,Gm38148,2,MGI:5611376,OTTMUSG00000049927.1,,,,,,,,,,,,3012,ENSMUSG00000103161,3012
chr1,HAVANA,gene,3717531,3729127,.,-,.,ENSMUSG00000102331.2,lncRNA,Gm19938,2,MGI:5012123,OTTMUSG00000049924.1,,,,,,,,,,,,11596,ENSMUSG00000102331,3259
chr1,HAVANA,gene,3750377,3752011,.,+,.,ENSMUSG00000102348.2,TEC,Gm10568,2,MGI:3642703,OTTMUSG00000049922.1,,,,,,,,,,,,1634,ENSMUSG00000102348,1634
chr1,HAVANA,gene,3822232,3824583,.,+,.,ENSMUSG00000102592.2,TEC,Gm38385,2,MGI:5611613,OTTMUSG00000049923.1,,,,,,,,,,,,2351,ENSMUSG00000102592,2351
chr1,ENSEMBL,gene,3854098,3854156,.,-,.,ENSMUSG00000088333.4,snRNA,Gm27396,3,MGI:5530778,,,,,,,,,,,,,58,ENSMUSG00000088333,58
chr1,HAVANA,gene,3943428,4018627,.,+,.,ENSMUSG00000142494.1,lncRNA,ENSMUSG00000142494,2,,,,,,,,,,,,,,75199,ENSMUSG00000142494,781
chr1,HAVANA,gene,3975961,4056438,.,-,.,ENSMUSG00000102343.2,lncRNA,Gm37381,2,MGI:5610609,OTTMUSG00000049934.1,,,,,,,,,,,,80477,ENSMUSG00000102343,899
chr1,HAVANA,gene,4023805,4026747,.,-,.,ENSMUSG00000133908.1,lncRNA,ENSMUSG00000133908,2,,,,,,,,,,,,,,2942,ENSMUSG00000133908,444
chr1,HAVANA,gene,4069779,4479464,.,-,.,ENSMUSG00000025900.14,protein_coding,Rp1,2,MGI:1341105,OTTMUSG00000049985.1,,,,,overlapping_locus,,,,,,,409685,ENSMUSG00000025900,6869
chr1,HAVANA,gene,4326456,4330742,.,-,.,ENSMUSG00000102948.2,processed_pseudogene,Gm6101,2,MGI:3644986,OTTMUSG00000049933.1,,,,,overlapping_locus,,,,,,,4286,ENSMUSG00000102948,1867
chr1,HAVANA,gene,4433568,4435052,.,-,.,ENSMUSG00000104123.2,TEC,Gm37483,2,MGI:5610711,OTTMUSG00000049991.1,,,,,,,,,,,,1484,ENSMUSG00000104123,1484
chr1,HAVANA,gene,4437886,4482971,.,-,.,ENSMUSG00000135717.1,lncRNA,ENSMUSG00000135717,2,,,,,,,,,,,,,,45085,ENSMUSG00000135717,1401
chr1,HAVANA,gene,4502438,4503914,.,-,.,ENSMUSG00000139157.1,lncRNA,ENSMUSG00000139157,2,,,,,,,,,,,,,,1476,ENSMUSG00000139157,422
chr1,HAVANA,gene,4561153,4567577,.,-,.,ENSMUSG00000025902.14,protein_coding,Sox17,2,MGI:107543,OTTMUSG00000050014.1,,,,,,,,,,,,6424,ENSMUSG00000025902,3242
chr1,HAVANA,gene,4566773,4569786,.,+,.,ENSMUSG00000104238.3,lncRNA,Gm37587,2,MGI:5610815,OTTMUSG00000050024.1,,,,,,,,,,,,3013,ENSMUSG00000104238,2828
chr1,HAVANA,gene,4593127,4596960,.,+,.,ENSMUSG00000102269.2,processed_pseudogene,Gm7357,2,MGI:3643257,OTTMUSG00000050025.1,,,,,,,,,,,,3833,ENSMUSG00000102269,2991
chr1,ENSEMBL,gene,4599239,4599346,.,+,.,ENSMUSG00000118917.1,snRNA,Gm22307,3,MGI:5452084,,,,,,,,,,,,,107,ENSMUSG00000118917,107
chr1,HAVANA,gene,4605059,4605509,.,-,.,ENSMUSG00000103003.2,processed_pseudogene,Gm38076,2,MGI:5611304,OTTMUSG00000050027.1,,,,,,,,,,,,450,ENSMUSG00000103003,450
chr1,HAVANA,gene,4653334,4687803,.,-,.,ENSMUSG00000104328.3,lncRNA,Gm37323,2,MGI:5610551,OTTMUSG00000050028.1,,,,,,,,,,,,34469,ENSMUSG00000104328,2773
chr1,HAVANA,gene,4679169,4688044,.,+,.,ENSMUSG00000131850.1,lncRNA,ENSMUSG00000131850,2,,,,,,,overlaps_pseudogene,,,,,,,8875,ENSMUSG00000131850,1683
chr1,HAVANA,gene,4680693,4681629,.,+,.,ENSMUSG00000102735.2,transcribed_processed_pseudogene,Gm7369,2,MGI:3643485,OTTMUSG00000050029.1,,,,,overlapping_locus,,,,,,,936,ENSMUSG00000102735,936
chr1,HAVANA,gene,4758156,4759626,.,-,.,ENSMUSG00000098104.2,processed_pseudogene,Gm6085,2,MGI:3646770,OTTMUSG00000043092.1,,,,,,,,,,,,1470,ENSMUSG00000098104,1470
chr1,HAVANA,gene,4762441,4763647,.,-,.,ENSMUSG00000102175.2,processed_pseudogene,Gm6119,2,MGI:3644547,OTTMUSG00000050009.1,,,,,,,,,,,,1206,ENSMUSG00000102175,1206
chr1,HAVANA,gene,4792575,4817539,.,+,.,ENSMUSG00000135930.1,lncRNA,ENSMUSG00000135930,2,,,,,,,,,,,,,,24964,ENSMUSG00000135930,1163
chr1,ENSEMBL,gene,4793499,4793602,.,-,.,ENSMUSG00002075947.1,snRNA,Gm56275,3,MGI:6849008,,,,,,,,,,,,,103,ENSMUSG00002075947,103
chr1,HAVANA,gene,4805268,4805899,.,-,.,ENSMUSG00000103265.2,processed_pseudogene,Gm2053,2,MGI:3780221,OTTMUSG00000050030.1,,,,,,,,,,,,631,ENSMUSG00000103265,631
chr1,HAVANA,gene,4841353,4842422,.,+,.,ENSMUSG00000103922.2,processed_pseudogene,Gm6123,2,MGI:3647047,OTTMUSG00000050042.1,,,,,,,,,,,,1069,ENSMUSG00000103922,1069
chr1,HAVANA,gene,4843428,4855962,.,-,.,ENSMUSG00000033845.14,protein_coding,Mrpl15,2,MGI:1351639,OTTMUSG00000029329.1,,,,,,,,,,,,12534,ENSMUSG00000033845,4600
chr1,HAVANA,gene,4848285,4849435,.,-,.,ENSMUSG00000102275.2,TEC,Gm37144,2,MGI:5610372,OTTMUSG00000050076.1,,,,,,,,,,,,1150,ENSMUSG00000102275,1150
chr1,HAVANA,gene,4855978,4874316,.,+,.,ENSMUSG00000120403.2,lncRNA,A930006A01Rik,2,MGI:1925192,,,,,,,,,,,,,18338,ENSMUSG00000120403,1382
chr1,HAVANA,gene,4877486,4877953,.,-,.,ENSMUSG00000136002.1,lncRNA,ENSMUSG00000136002,2,,,,,,,,,,,,,,467,ENSMUSG00000136002,467
chr1,HAVANA,gene,4878010,4918633,.,+,.,ENSMUSG00000025903.15,protein_coding,Lypla1,2,MGI:1344588,OTTMUSG00000021562.1,,,,,overlapping_locus,,,,,,,40623,ENSMUSG00000025903,4456
chr1,HAVANA,gene,4878114,4956993,.,+,.,ENSMUSG00000104217.2,protein_coding,Gm37988,2,MGI:5611216,OTTMUSG00000050100.1,,,,,overlapping_locus,,,,,,,78879,ENSMUSG00000104217,825
chr1,HAVANA,gene,4927486,4927854,.,-,.,ENSMUSG00000137875.1,lncRNA,ENSMUSG00000137875,2,,,,,,,,,,,,,,368,ENSMUSG00000137875,368
chr1,HAVANA,gene,4928036,4968132,.,+,.,ENSMUSG00000033813.16,protein_coding,Tcea1,2,MGI:1196624,OTTMUSG00000042348.1,,,,,overlapping_locus,,,,,,,40096,ENSMUSG00000033813,2854
chr1,HAVANA,gene,4950271,4950874,.,-,.,ENSMUSG00000062588.5,processed_pseudogene,Gm6104,2,MGI:3648587,OTTMUSG00000050078.1,,,,,,,,,,,,603,ENSMUSG00000062588,603
chr1,HAVANA,gene,4975973,4977084,.,-,.,ENSMUSG00000103280.2,TEC,Gm37277,2,MGI:5610505,OTTMUSG00000050140.1,,,,,,,,,,,,1111,ENSMUSG00000103280,1111
chr1,HAVANA,gene,4979798,5140508,.,-,.,ENSMUSG00000002459.18,protein_coding,Rgs20,2,MGI:1929866,OTTMUSG00000029338.1,,,,,overlapping_locus,,,,,,,160710,ENSMUSG00000002459,2125
chr1,HAVANA,gene,4997250,4997522,.,-,.,ENSMUSG00000091305.2,processed_pseudogene,Gm17100,2,MGI:4937927,OTTMUSG00000035898.1,,,,,overlapping_locus,,,,,,,272,ENSMUSG00000091305,272
